,pr
1979,330.49893795463845
1980,345.888224591522
1981,446.36159454202016
1982,565.4870853004923
1983,317.6735411503046
1984,379.67836067508074
1985,99.91607317966782
1986,361.1253522413506
1987,329.6738330681819
1988,407.7639415949591
1989,285.4111246771595
1990,157.50790457267385
1991,427.0516959175495
1992,343.35403765455226
1993,444.50472213591183
1994,841.6864134804428
1995,531.2170752880775
1996,223.2152758588029
1997,452.1062132163536
1998,316.47850923299075
1999,380.7239542136415
2000,300.9451057252477
2001,138.08336863086197
2002,341.12566831495315
2003,339.28612524568393
2004,448.03978710846195
2005,490.1661345358434
2006,420.31761000416736
2007,348.87317605438284
2008,242.7145731977646
2009,401.8502421745495
