,pr
1,172.47135196120098
2,429.127858763826
3,197.6885657397304
4,308.0179786316876
5,459.85495674508456
6,343.60111239384423
7,353.6700358429698
8,432.14071774838203
9,158.76485205194513
10,473.1172404762333
11,314.2537544117147
12,905.156520596347
13,689.7591766114147
14,575.9306847240623
15,271.5135402022611
16,678.8248235633546
17,209.1359322370863
18,283.18265587679434
19,321.5161844506156
20,720.949443166478
21,425.8599243003232
22,433.7459009824329
23,536.6664742491594
24,419.3509542262291
25,444.3429951483722
26,441.22772161398984
27,367.9357006476039
28,415.59229461731775
29,588.4217971542625
30,404.14047383424077
31,244.97993850259263
32,343.0758754866929
33,335.0967626653471
34,312.5926166874706
35,468.7447252336824
36,464.0363053997703
37,380.4162101203417
38,435.9942302664365
39,375.590124810833
40,483.40061759658965
41,327.1318874398844
42,589.4426077265905
43,384.8339281959852
44,537.4184966633436
45,302.91330190275403
46,306.0400387541904
47,258.2792446133226
48,377.64890733528773
49,616.187699392458
50,466.68766694073724
51,348.02007112739375
52,175.9937757521584
53,197.40110191546592
54,250.31253448345865
55,279.8638979795612
56,226.26685677285536
57,261.28768318304765
58,160.00464016780143
59,333.11099504757635
60,683.35572000301
61,197.08451598001488
62,373.7129067873866
63,448.5368563668942
64,477.07013468070727
65,167.79417308143252
66,267.82465914561726
67,424.88576152404676
68,619.7754553330128
69,580.6184330262113
70,355.6230651500414
71,227.7820363008118
72,242.06801952446995
73,590.1824379350273
74,502.469172072324
75,500.7417722978971
76,261.4694262443777
77,430.771701875301
78,543.0094478984302
79,632.4814148885196
80,596.0591307706579
81,356.41875060691746
82,422.58918421425733
83,256.00129389331414
84,628.0556942187559
85,369.52718479378746
86,411.1217379397772
87,275.9266526504348
88,256.9413064702758
89,248.49470205986108
90,495.5764733777414
91,386.9753453847352
92,539.5317207883124
93,454.082464174229
94,361.6272166921988
95,387.05297729047743
96,732.061045507362
97,540.1298783818618
98,396.3838042199427
99,378.50976929466924
100,313.9676868407264
101,599.0410358765473
102,267.6645653700689
103,518.4944390808312
104,381.8100456517641
105,570.1379372220345
106,617.394864900416
107,593.9473408043114
108,582.6292811747862
109,236.01731212863797
110,342.8551498302909
111,841.947469836623
112,196.58223105419665
113,425.5491894115721
114,538.1163360264452
115,347.651931989634
116,413.07828075704833
117,407.9738641955032
118,442.10387446584036
119,172.051729319287
120,179.31933725344607
121,447.817582998681
122,659.4979688835338
123,590.741782915677
124,324.5620172313579
125,415.07958427081917
126,514.0705747454945
127,521.8225301504049
128,625.9674004415956
129,435.29047850779534
130,323.9308230183269
131,377.1484916999839
132,504.93545236586215
133,448.0503766392758
134,523.281670803317
135,374.629943518687
136,372.27715250287474
137,359.79195543600326
138,511.0312631806778
139,245.7756672065898
140,248.4419650678717
141,219.647581457059
142,526.5431406948892
143,307.3853673296185
144,495.548387407149
145,195.03163400204357
146,423.29926624304335
147,420.8534520946614
148,365.7836571370922
149,852.8896244626139
150,593.3070580186723
151,352.37409396469275
152,496.0441804936579
153,539.30004007957
154,567.1745841766153
155,292.21547442630253
156,376.3374995269828
157,464.8229778154018
158,493.81453675280227
159,476.6269607842787
160,411.0891807751841
161,494.7483235406253
162,293.05883735352154
163,333.30057724716653
164,608.4460981680877
165,849.2675270790642
166,669.817143578075
167,214.4903140845031
168,374.4992497279213
169,274.6554091851749
170,259.3671813517801
171,302.380603156098
172,429.925052632683
173,390.4310460558122
174,365.71064743313286
175,272.4970806233614
176,263.2127444700018
177,359.7158940087411
178,265.4907477559618
179,636.5227688727828
180,547.0802703510117
181,364.2421903662125
182,292.4841140132685
183,380.1411629269751
184,466.9144974261144
185,456.5843306622128
186,294.1030297195539
187,176.2005234393655
188,388.4528429406146
189,672.80364496728
190,497.59642162966884
191,270.76290603690154
192,355.8841124753144
193,266.31435427997303
194,288.00446343561816
195,492.61177063789887
196,364.4924593531357
197,565.967287993999
198,533.1484802491104
199,589.8218665398986
200,360.4447570321554
201,349.27560922924386
202,399.3267612345903
203,501.02432098483405
204,211.6699858546781
205,441.4995575906687
206,220.97923465086637
207,444.20027705594975
208,333.86145960494105
209,481.71149884733495
210,230.0615932245023
211,465.7786138934739
212,190.90319412717918
213,399.6779110787429
214,269.603891414539
215,425.4279497813968
216,289.57211237476486
217,189.72044583647403
218,144.12133320956286
219,379.23205206161583
220,221.20291134014565
221,407.7965731930931
222,636.5680214473855
223,233.75307612446932
224,492.7252651499657
225,318.3260094500838
226,452.7060409643241
227,286.39960606534487
228,395.72329319558435
229,445.1744307083118
230,430.0882449433175
231,612.999185559795
232,300.189739426969
233,261.5315045119985
234,524.5620291999785
235,789.2781696134989
236,639.1378197278868
237,833.0050056823893
238,445.39196958052685
239,515.0463772505589
240,290.95678555354425
241,545.9273330433007
242,250.22097298469816
243,429.5442658025195
244,288.0602105080868
245,642.7397205709838
246,555.8173002546937
247,246.59904049493662
248,620.2511021063344
249,457.1947455165173
250,741.7710614611224
251,613.590967148059
252,416.894459955256
253,456.25026630536354
254,233.85589485151854
255,259.5333270011338
256,197.79111910925167
257,358.50387541568125
258,320.5884437191969
259,350.29190867371653
260,423.6239762797709
261,477.46168997879295
262,479.16788959983023
263,398.03689007758294
264,481.00917816963715
265,444.51562748419065
266,413.21798678514483
267,216.24165179196098
268,334.56668498242834
269,192.01229828923942
270,460.0415535054253
271,206.89991456488315
272,358.4293853447889
273,569.1076828069299
274,489.3767852437122
275,503.8648494098652
276,425.2184100179875
277,291.1743949002016
278,393.27131146737315
279,471.2726134319439
280,579.7420723074083
281,344.1929538259501
282,448.60989726540765
283,417.1661654925572
284,367.028460693939
285,426.925901972254
286,446.2078975633176
287,330.98820758767715
288,440.83765151967214
289,301.18724234154115
290,710.5262575940742
291,606.1700086905546
292,386.42814136332504
293,425.65960443477024
294,380.5718235411405
295,411.4064061337672
296,615.8629838394518
297,536.2452544467487
298,250.31889526272835
299,260.7019407608277
300,426.1958768032855
301,467.24365364389087
302,407.9318307742028
303,311.4427606859522
304,214.4607763078625
305,339.3169905425111
306,236.61414472531987
307,381.6005060734483
308,308.24628566425645
309,349.919074730542
310,491.4571556160922
311,559.6227201730471
312,445.32992400140756
313,464.37373937301345
314,801.2739467361826
315,554.0309640669875
316,340.90191108849695
317,320.2668872640061
318,302.87313390986697
319,207.3240100385533
320,484.5458435323053
321,478.61289383546364
322,515.7407383252576
323,366.9458485812811
324,224.80641578226255
325,539.2474339510159
326,595.9579634902298
327,435.5343470477237
328,411.42784863691304
329,338.76686974649033
330,507.58938479272047
331,370.1157301854096
332,292.0754835952664
333,362.5282598669912
334,242.39273845504954
335,176.04195046248492
336,330.7755209447748
337,336.0400156741548
338,664.0647865295762
339,413.3298522410769
340,391.7721379680984
341,354.70016244407816
342,320.83552073823967
343,826.6840790680362
344,538.2312568981888
345,309.72081395999567
346,494.42506360373955
347,242.40819218102843
348,244.12994926683496
349,256.44738208170565
350,527.5266232725699
351,395.4436628654548
352,680.874123858689
353,326.96242720140276
354,413.4434711105257
355,235.4829240194249
356,241.053542632244
357,351.84552314563007
358,324.7110836251977
359,142.18542833341417
360,453.669343457841
361,147.94389836574737
362,351.82881085018494
363,523.9449493335542
364,394.7240957246322
365,345.00551466670686
366,274.1783135062178
367,627.7156124983776
368,483.25930840120463
369,336.04608645482017
370,214.080244750852
371,154.89738792379626
372,379.01636483770744
373,427.5723691342705
374,473.3252494261251
375,189.0012402634511
376,318.60892869121926
377,153.77530662631216
378,727.9819277694514
379,335.98894000519977
380,269.8089933769097
381,306.51245654859736
382,301.88806281107645
383,128.72413377286875
384,727.8486247055298
385,344.2176412077913
386,265.8341683692015
387,414.78270352399136
388,234.74160279442344
389,869.5016117497289
390,388.2226735741938
391,299.75602498118405
392,388.2042737611414
393,364.67582947202004
394,464.746670185491
395,393.01337043822286
396,466.8488785122918
397,460.93979847137234
398,311.7673906121695
399,294.3951966253394
400,533.4342579775807
401,352.54486325759444
402,326.94845721563297
403,378.6668026344728
404,289.28317269165404
405,370.6162341180061
406,250.02540778559137
407,590.1512513343846
408,704.371699886417
409,621.7938144463915
410,259.94832974173505
411,382.58862203096555
412,458.92453022244126
413,248.40630194787536
414,389.40073604312033
415,340.12206093775603
416,282.3998086094889
417,412.4688928884211
418,456.8811297204775
419,609.5292341017739
420,356.00072710504946
421,730.0955248927437
422,289.72913311408774
423,348.34342323671876
424,477.61552343129097
425,265.0820575660987
426,345.35680890408
427,668.3612305749648
428,280.90948718008804
429,266.66256298454414
430,461.8782858965915
431,396.7550151367959
432,873.7704345173597
433,372.0720899591356
434,191.3582471180007
435,452.11555564966375
436,586.4843905704788
437,450.40789928675053
438,344.30956402449056
439,370.4779238638764
440,291.84860362975087
441,878.3836810996945
442,228.88520204480756
443,314.94964676496693
444,232.39221208093568
445,304.2745760052185
446,277.91222636537896
447,555.2288436192612
448,269.7374790622348
449,409.8354147644159
450,180.1844921638974
451,647.9077118874102
452,519.8320086788499
453,579.4607508808895
454,475.7449130619932
455,736.0419176789662
456,228.09122081598616
457,510.03649505846624
458,376.6715046187528
459,341.20667429560285
460,533.4778847905909
461,314.0188875893273
462,452.1589640849868
463,329.3818707948162
464,295.545074626898
465,282.8068228074244
466,580.6872040084386
467,280.761926839898
468,672.614199307327
469,413.74471786634786
470,541.9138788172404
471,429.7026831677613
472,460.453611211193
473,396.42889212237833
474,331.0179520738984
475,410.12125535654604
476,591.7533721209111
477,398.3116874473126
478,636.2571261035612
479,220.08752055333503
480,405.45500511937007
481,450.4576268394885
482,640.1339357245888
483,457.505751204792
484,476.5248335099102
485,264.4419525454623
486,205.79994534627417
487,301.6471420039579
488,493.79242707768753
489,424.4633293003176
490,205.01518218816273
491,598.5513989467108
492,560.1170470298712
493,379.54150364098496
494,368.02748889285795
495,248.57210216310932
496,342.19021439194535
497,225.70912992291028
498,375.29799999157376
499,297.7688712043346
500,313.76705051939666
