,pr
1,239.5554370537866
2,446.12400010893225
3,467.01079191266217
4,352.066424395025
5,369.7645376096659
6,419.8217529732119
7,381.37177827752566
8,374.3081680527155
9,295.90413333631886
10,301.6129124596773
11,255.1576416612079
12,552.7720207622849
13,343.27147322220526
14,564.9977013543889
15,389.2500514619428
16,395.66423102689896
17,479.53311498663425
18,226.39131513718667
19,328.5518132126981
20,196.3289365293349
21,447.1074474160105
22,394.63711982747895
23,368.2668098751151
24,338.8291741431658
25,179.45121591145607
26,399.52389859536197
27,476.3352059185081
28,403.74735444294174
29,479.81741028804663
30,465.41317362749623
