,pr
1979,611.7397918118513
1980,507.25103910517646
1981,629.3701006157789
1982,535.0132432256942
1983,554.2424018734891
1984,458.13208985928213
1985,512.6060321956174
1986,449.5554339271621
1987,688.0327953032975
1988,493.50176273947
1989,625.0464320837636
1990,466.1985786355217
1991,581.2235596880782
1992,601.7985814396525
1993,525.817588956852
1994,449.4603789804387
1995,507.19235159267555
1996,541.2938375069643
1997,757.7949370068382
1998,578.2270723728288
1999,558.0650756382965
2000,415.41311018227134
2001,354.72999001212884
2002,439.57397466438124
2003,494.78779704950284
2004,466.59450356819434
2005,500.96944166725734
2006,602.0988463569665
2007,535.63942003384
2008,603.7789392772538
