,pr
1850,450.85965355538065
1851,431.5207901294343
1852,572.5291154376464
1853,405.2228298285627
1854,393.58147283273865
1855,555.024341186072
1856,450.20608210761566
1857,313.4255329146981
1858,561.959302266041
1859,500.5905393190915
1860,364.4802027687547
1861,490.9107070263417
1862,528.6322667612694
1863,423.6416006046056
1864,386.382411748491
1865,396.9735227859928
1866,432.7241020684596
1867,451.5005717606982
1868,470.55486783210654
1869,357.3553948823246
1870,624.9381596091553
1871,530.1137343310984
1872,515.67664197064
1873,436.58483679173514
1874,260.9265275314101
1875,430.040448026557
1876,376.62830647532246
1877,404.0195780034992
1878,463.0411535734311
1879,476.17940428535803
1880,386.99142529367236
1881,460.5031302009593
1882,486.5362234748318
1883,551.8210507623735
1884,585.4269082003157
1885,594.0717931647669
1886,557.4871437027468
1887,591.5936724515632
1888,461.93929086002754
1889,391.6674742475152
1890,477.6953093954944
1891,630.7402171099966
1892,390.59376085933764
1893,476.89632455294486
1894,506.4977385751263
1895,469.5786620795843
1896,417.8147453480051
1897,534.0058451045479
1898,471.2957093899604
1899,509.1792416078533
1900,432.4074898075196
1901,395.5474661051994
1902,467.68284342979314
1903,389.36839715461247
1904,511.09121400877484
1905,358.99386128076003
1906,470.11134990971186
1907,454.35416074324166
1908,634.8052122586523
1909,623.4034705950762
1910,563.0579293749179
1911,520.4229654424125
1912,487.29424548509996
1913,287.27371295535704
1914,539.222853530373
1915,442.10802269662963
1916,384.6555305110087
1917,385.51638304197695
1918,429.17947665264364
1919,411.6815313274856
1920,597.1958274356439
1921,428.0915769391868
1922,345.67981162908836
1923,412.83920500209206
1924,442.88993780646706
1925,387.3274518202379
1926,340.88346593489405
1927,758.0170292960247
1928,324.35624724967056
1929,590.5884751497069
1930,484.5193605449822
1931,388.6034122973797
1932,584.0772978161112
1933,465.1691721053794
1934,511.53107114805607
1935,575.0436803973571
1936,414.0600359372911
1937,528.7614132394083
1938,409.02773522248026
1939,428.55665159077034
1940,425.82588170880626
1941,403.0959057243308
1942,718.5540992184542
1943,494.60326439584605
1944,639.979703631252
1945,378.4331640275923
1946,302.4113529958413
1947,474.4205091119511
1948,443.930551543599
1949,445.6918122112256
1950,466.1242011236027
1951,377.2031778440578
1952,508.0674270182499
1953,562.4748239060864
1954,377.4224101623986
1955,457.2993647394469
1956,451.13526883105806
1957,414.3122362649592
1958,408.25934272870654
1959,491.78858560917433
1960,454.253035975853
1961,453.75414918526076
1962,444.741068915755
1963,508.8657544576563
1964,611.8518621726253
1965,398.7176349342917
1966,453.6778455119929
1967,488.0084554970381
1968,461.07213533105096
1969,372.47610136982985
1970,448.8122375521925
1971,413.56101127748843
1972,323.07427609339356
1973,437.1926781735965
1974,378.3657850282907
1975,403.1027058510517
1976,332.23318546733935
1977,404.959185118787
1978,394.0966966532869
1979,381.94191277289065
1980,479.0026870497968
1981,566.4114638020692
1982,456.70180166634964
1983,373.0367820029642
1984,452.09105246613035
1985,654.3338412782759
1986,482.9024902690435
1987,588.3857927983627
1988,448.4802237209806
1989,376.90421020961367
1990,697.9781228728825
1991,339.23656289553037
1992,440.75396435073344
1993,389.2493470128102
1994,336.2040983072802
1995,553.0453074075922
1996,401.671147858724
1997,400.5939990951447
1998,450.15436260873685
1999,432.130034740112
2000,387.35896335274447
2001,417.1198669646401
2002,409.9461860736483
2003,419.8211067370721
2004,393.34629194636364
2005,592.407754699525
2006,335.2385900601803
2007,588.0347500104108
2008,658.6751809183625
2009,510.8170671737753
2010,394.33421823196113
2011,340.41564191429643
2012,250.3913450113032
2013,396.5579942581826
2014,501.9322475658555
2015,388.041063118726
2016,404.7169038502034
2017,539.5510972535703
2018,428.09549991543463
2019,510.94147176045226
2020,739.6836035099113
2021,542.4663706064166
2022,524.6831424330594
2023,478.5594500324805
2024,662.8724187874468
2025,406.75664256377786
2026,343.888387199695
2027,416.42197950422997
2028,346.24437469101395
2029,379.82590866449755
2030,420.5697712233814
2031,490.8206736876309
2032,452.5139365461655
2033,514.7541005411767
2034,408.5112332337303
2035,485.2605692547513
2036,567.6213976475992
2037,575.2660157944774
2038,348.41862704779487
2039,367.84055020980304
2040,698.2208732661093
2041,456.47327657425194
2042,426.3267189322505
2043,467.3368573654443
2044,377.42942803524784
2045,493.3176255217404
2046,531.8621664337115
2047,334.31084836047376
2048,521.4623939325975
2049,649.2052145404159
2050,662.1247423900058
2051,620.7931223863852
2052,419.2842323820514
2053,276.2261603777006
2054,515.396690012858
2055,582.9365098587004
2056,402.28290540981106
2057,443.16428346937755
2058,569.2310099533643
2059,538.9568409591448
2060,559.3618851402425
2061,419.77014716903795
2062,431.44183511612937
2063,549.4720093411161
2064,548.3766922425275
2065,479.16454133810475
2066,333.42027989710914
2067,492.32739522121847
2068,654.1712903948792
2069,283.95810914153117
2070,384.9580690031871
2071,373.1460458766378
2072,459.1271545206837
2073,477.1570396304014
2074,519.6362465983839
2075,573.4648012759862
2076,652.8583558334503
2077,540.0122438702965
2078,566.2460516905412
2079,384.2502178697032
2080,461.42916548924404
2081,728.5768529618508
2082,545.114526116231
2083,379.905871785013
2084,613.4781141015992
2085,366.14300748333335
2086,356.2378349204664
2087,367.8868991941272
