,,pr
1850,False,332.7463635665481
1850,True,118.11328998883255
1851,False,194.2670078788069
1851,True,237.2537822506274
1852,False,425.4946706641931
1852,True,147.0344447734533
1853,False,240.3808797011152
1853,True,164.8419501274475
1854,False,164.28805275572813
1854,True,229.29342007701052
1855,False,361.30496385740116
1855,True,193.71937732867082
1856,False,199.544288389734
1856,True,250.66179371788166
1857,False,167.358253657585
1857,True,146.0672792571131
1858,False,265.4668674287677
1858,True,296.4924348372733
1859,False,309.72517791960854
1859,True,190.86536139948294
1860,False,229.3720126777771
1860,True,135.1081900909776
1861,False,302.38704092553235
1861,True,188.52366610080935
1862,False,324.24787711934187
1862,True,204.38438964192756
1863,False,198.82851272341213
1863,True,224.8130878811935
1864,False,233.61521774859284
1864,True,152.76719399989815
1865,False,201.33820896298857
1865,True,195.63531382300425
1866,False,301.88868736149743
1866,True,130.83541470696218
1867,False,234.27672975958558
1867,True,217.22384200111264
1868,False,219.03821318701375
1868,True,251.51665464509279
1869,False,225.60219906445127
1869,True,131.75319581787335
1870,False,413.95748906215886
1870,True,210.9806705469964
1871,False,296.59540683205705
1871,True,233.51832749904133
1872,False,333.63002234254964
1872,True,182.0466196280904
1873,False,210.57873311801814
1873,True,226.006103673717
1874,False,172.27442600487848
1874,True,88.65210152653162
1875,False,285.6511292353389
1875,True,144.3893187912181
1876,False,246.6846053437621
1876,True,129.94370113156037
1877,False,254.27494559262414
1877,True,149.74463241087506
1878,False,292.32245558523573
1878,True,170.71869798819534
1879,False,232.55956577704637
1879,True,243.61983850831166
1880,False,206.2551608076319
1880,True,180.73626448604045
1881,False,331.2090293416986
1881,True,129.29410085926065
1882,False,318.765543209156
1882,True,167.77068026567576
1883,False,327.1105893974891
1883,True,224.7104613648844
1884,False,396.42260492546484
1884,True,189.00430327485083
1885,False,388.8798516156385
1885,True,205.1919415491284
1886,False,338.3632710276288
1886,True,219.12387267511804
1887,False,273.6280416866066
1887,True,317.9656307649566
1888,False,214.37510641553672
1888,True,247.56418444449082
1889,False,197.65090274449904
1889,True,194.01657150301617
1890,False,263.6764026028686
1890,True,214.01890679262578
1891,False,479.0727469648118
1891,True,151.66747014518478
1892,False,189.25447731016902
1892,True,201.3392835491686
1893,False,277.14917472330853
1893,True,199.74714982963633
1894,False,374.1804100209265
1894,True,132.31732855419978
1895,False,266.5907359973062
1895,True,202.98792608227814
1896,False,309.519804266165
1896,True,108.29494108184008
1897,False,234.67759297564044
1897,True,299.3282521289075
1898,False,270.42333675781265
1898,True,200.87237263214774
1899,False,292.41385732202616
1899,True,216.76538428582717
1900,False,243.9271096882294
1900,True,188.4803801192902
1901,False,243.7525545770768
1901,True,151.7949115281226
1902,False,302.82705043209717
1902,True,164.85579299769597
1903,False,165.26519422332058
1903,True,224.1032029312919
1904,False,301.9510688180162
1904,True,209.14014519075863
1905,False,179.98256115315598
1905,True,179.01130012760404
1906,False,226.82269909782917
1906,True,243.2886508118827
1907,False,176.60997409693664
1907,True,277.744186646305
1908,False,366.31951122981263
1908,True,268.4857010288397
1909,False,277.8694178981823
1909,True,345.5340526968939
1910,False,454.711164321634
1910,True,108.34676505328389
1911,False,256.7819700416294
1911,True,263.64099540078314
1912,False,262.7438842202537
1912,True,224.5503612648463
1913,False,132.28245434293058
1913,True,154.99125861242646
1914,False,306.8778504151851
1914,True,232.34500311518786
1915,False,281.1014554274152
1915,True,161.00656726921443
1916,False,274.39201338784187
1916,True,110.26351712316682
1917,False,213.65314641734585
1917,True,171.8632366246311
1918,False,264.7252357652178
1918,True,164.45424088742584
1919,False,260.07716868189164
1919,True,151.60436264559394
1920,False,364.31753061624477
1920,True,232.8782968193991
1921,False,194.9710620494443
1921,True,233.12051488974248
1922,False,186.79267965926556
1922,True,158.8871319698228
1923,False,200.74983851300203
1923,True,212.08936648909003
1924,False,186.929425917333
1924,True,255.96051188913407
1925,False,245.1993999624392
1925,True,142.1280518577987
1926,False,199.68971270718612
1926,True,141.19375322770793
1927,False,395.8670127525693
1927,True,362.1500165434554
1928,False,142.99054781804443
1928,True,181.36569943162613
1929,False,378.0438246089034
1929,True,212.54465054080356
1930,False,212.28046217293013
1930,True,272.23889837205206
1931,False,257.8376401652349
1931,True,130.76577213214478
1932,False,350.7709865240031
1932,True,233.30631129210815
1933,False,260.3516819566721
1933,True,204.8174901487073
1934,False,260.4853356067906
1934,True,251.04573554126546
1935,False,273.0988539624377
1935,True,301.9448264349194
1936,False,217.52320002269698
1936,True,196.53683591459412
1937,False,327.5990802445449
1937,True,201.1623329948634
1938,False,264.66267025389243
1938,True,144.36506496858783
1939,False,201.34341540178866
1939,True,227.21323618898168
1940,False,134.96068198983266
1940,True,290.8651997189736
1941,False,245.82317794847768
1941,True,157.27272777585313
1942,False,350.29211214277893
1942,True,368.2619870756753
1943,False,309.4260150915943
1943,True,185.17724930425175
1944,False,351.6458654397866
1944,True,288.3338381914655
1945,False,155.43526028523047
1945,True,222.9979037423618
1946,False,131.09115694533102
1946,True,171.32019605051028
1947,False,229.29065015923698
1947,True,245.12985895271413
1948,False,225.53690516506322
1948,True,218.39364637853578
1949,False,201.2982711326913
1949,True,244.39354107853433
1950,False,232.0207265598583
1950,True,234.10347456374438
1951,False,207.79543201206252
1951,True,169.40774583199527
1952,False,209.75103478267556
1952,True,298.3163922355743
1953,False,327.9385455942247
1953,True,234.53627831186168
1954,False,206.96344311145367
1954,True,170.45896705094492
1955,False,238.402635458624
1955,True,218.8967292808229
1956,False,279.08855635032523
1956,True,172.04671248073282
1957,False,183.57688525647973
1957,True,230.73535100847948
1958,False,225.2265822782647
1958,True,183.03276045044186
1959,False,254.05030089605134
1959,True,237.738284713123
1960,False,225.48685781657696
1960,True,228.76617815927602
1961,False,173.95311304426286
1961,True,279.8010361409979
1962,False,280.2229222113965
1962,True,164.51814670435851
1963,False,218.80446252180263
1963,True,290.06129193585366
1964,False,247.00670856327633
1964,True,364.8451536093489
1965,False,138.79926973750116
1965,True,259.91836519679055
1966,False,284.70538664550986
1966,True,168.97245886648307
1967,False,243.97459449246526
1967,True,244.03386100457283
1968,False,259.94961542019155
1968,True,201.1225199108594
1969,False,203.1076271639904
1969,True,169.36847420583945
1970,False,238.8427742102067
1970,True,209.96946334198583
1971,False,181.18247046513716
1971,True,232.37854081235128
1972,False,156.87576554337284
1972,True,166.19851055002073
1973,False,263.9112713877694
1973,True,173.28140678582713
1974,False,267.63448956917273
1974,True,110.73129545911797
1975,False,205.4879561343114
1975,True,197.61474971674033
1976,False,164.52973598861718
1976,True,167.70344947872218
1977,False,180.3037164383568
1977,True,224.6554686804302
1978,False,185.56878796080127
1978,True,208.52790869248565
1979,False,244.2923382317531
1979,True,137.64957454113755
1980,False,253.07156316703185
1980,True,225.93112388276495
1981,False,215.7493935614184
1981,True,350.6620702406508
1982,False,208.71613253984833
1982,True,247.9856691265013
1983,False,175.35602141979325
1983,True,197.68076058317092
1984,False,292.4239277956076
1984,True,159.66712467052275
1985,False,350.1744684908772
1985,True,304.15937278739875
1986,False,323.08794604759896
1986,True,159.81454422144452
1987,False,205.17184411583003
1987,True,383.21394868253265
1988,False,241.07451429517823
1988,True,207.40570942580234
1989,False,203.87900103523862
1989,True,173.02520917437505
1990,False,330.3591193689499
1990,True,367.6190035039326
1991,False,189.3970964665641
1991,True,149.83946642896626
1992,False,297.9887944034999
1992,True,142.76516994723352
1993,False,243.48683966818498
1993,True,145.7625073446252
1994,False,205.56775301811285
1994,True,130.63634528916737
1995,False,329.60203947804985
1995,True,223.44326792954234
1996,False,220.8117212590878
