,pr
1850,508.3758407563437
1851,531.7045752075501
1852,561.7007327658939
1853,542.5019305490423
1854,399.7802688871161
1855,425.08813267049845
1856,539.5957567998266
1857,630.0329780977336
1858,453.45449499436654
1859,562.8727131115738
1860,531.1343755383859
1861,554.184399227961
1862,392.62909004683024
1863,548.3338177273254
1864,504.0695517403947
1865,305.026172111684
1866,464.5904196338961
1867,432.49150783085497
1868,501.36437952278357
1869,374.4721254755859
1870,525.9187860181555
1871,576.3994029373862
1872,386.487605523871
1873,557.6502975920448
1874,549.1168103602831
1875,422.2263726682286
1876,381.3719320580276
1877,525.0930039823288
1878,470.79177591440384
1879,554.264308520942
