,,pr
1850,False,312.6723915687762
1850,True,195.70344918756746
1851,False,180.72273181169294
1851,True,350.98184339585714
1852,False,273.27537275705254
1852,True,288.4253600088414
1853,False,269.6014182816725
1853,True,272.9005122673698
1854,False,202.10207051422913
1854,True,197.67819837288698
1855,False,226.47995421721134
1855,True,198.6081784532871
1856,False,394.68032676377334
1856,True,144.9154300360533
1857,False,394.6680336550344
1857,True,235.3649444426992
1858,False,249.87679087207653
1858,True,203.57770412229002
1859,False,271.95144474681
1859,True,290.9212683647638
1860,False,336.47542003163835
1860,True,194.6589555067476
1861,False,355.703974494827
1861,True,198.480424733134
1862,False,206.416210570751
1862,True,186.21287947607925
1863,False,333.99678650312126
1863,True,214.3370312242041
1864,False,333.87274381821044
1864,True,170.19680792218423
1865,False,149.39192918100161
1865,True,155.63424293068238
1866,False,248.21600107534323
1866,True,216.37441855855286
1867,False,239.6047388712759
1867,True,192.88676895957906
1868,False,287.3414595043869
1868,True,214.0229200183967
1869,False,223.71401885611704
1869,True,150.7581066194689
1870,False,214.21780632954324
1870,True,311.7009796886123
1871,False,313.4427372162463
1871,True,262.95666572113987
1872,False,253.82436622458044
1872,True,132.66323929929058
1873,False,253.86063749610912
1873,True,303.7896600959357
1874,False,193.1192566815298
1874,True,355.9975536787533
1875,False,208.72992885124404
1875,True,213.49644381698454
1876,False,211.94702585089544
1876,True,169.42490620713215
1877,False,318.5881597950356
1877,True,206.5048441872932
1878,False,292.2621289064409
1878,True,178.52964700796292
1879,False,356.71351139608305
1879,True,197.55079712485895
