,pr
1979,426.2766567219162
1980,890.3699796822366
1981,441.8061581708571
1982,609.887176337088
1983,754.172129268045
1984,648.0171712883134
1985,594.6342665101838
1986,411.64314764937444
1987,469.961406375387
1988,732.0357390459432
1989,435.44418679562114
1990,427.7639400808883
1991,498.3718269315432
1992,612.8981597707934
1993,617.4352652447851
1994,831.0906080710993
1995,512.8049463632124
1996,505.1757047243882
1997,939.1967081008829
1998,665.3120702116228
1999,580.5607895566936
2000,524.8193977481606
2001,562.7072758985378
2002,391.63121457640955
2003,466.17777449333647
2004,315.1299364564693
2005,373.9545992976673
2006,531.3629640325416
2007,395.9537801268154
2008,574.8455586977798
2009,447.52100806294357
