,pr
1800,556.0373960113793
1801,358.6209895416687
1802,398.922362293888
1803,427.1455287553181
1804,613.4244373432011
1805,437.8449489497143
1806,514.5500459177129
1807,431.876697394182
1808,718.3631483778299
1809,376.8831051872439
1810,558.4365879423785
1811,528.6562925928592
1812,491.5018658408371
1813,637.203835597029
1814,500.58789400518435
1815,415.46275755681563
1816,549.8316036348115
1817,501.0861598784686
1818,407.8525523889766
1819,600.0300081541354
1820,626.404054264276
1821,459.4384864773019
1822,355.74902448715875
1823,390.61313346264797
1824,576.5499639535847
1825,433.67809682204097
1826,428.4291293044589
1827,342.7287454411271
1828,485.30702118423505
1829,283.480615181179
1830,878.1017066459754
1831,512.7460219260684
1832,595.3382959181909
1833,611.607238077795
1834,502.2923144810193
1835,380.79405845855945
1836,513.9114176025032
1837,544.0188210763154
1838,407.787468456263
1839,538.726356765801
1840,401.1989516868198
1841,362.81976050340745
1842,513.6470504643512
1843,533.249448332208
1844,421.04332371163764
1845,463.845535618384
1846,586.7110394319752
1847,387.5499769103044
1848,657.4285859765041
1849,591.8395533481089
1850,555.5647656634392
1851,522.2375217341323
1852,412.7112886599207
1853,410.37161387794185
1854,419.7232356378663
1855,465.8943040187296
1856,409.4510489994718
1857,367.94328882097034
1858,418.84501178283244
1859,432.57075428391545
1860,604.4115657437942
1861,637.5002659704478
1862,475.6603198715311
1863,503.8349273010681
1864,597.9404593015715
1865,549.3245159320395
1866,367.94157237827676
1867,474.4353523099562
1868,564.1539693635423
1869,433.64046741698985
1870,602.1151736331376
1871,474.0860639853054
1872,547.6226277151
1873,612.712943274164
1874,519.4813118199818
1875,549.2557279405446
1876,356.9607661029295
1877,387.5665161962388
1878,300.0490648933919
1879,219.45520237666187
1880,541.0116862425639
1881,384.23937489242235
1882,593.9822006814211
1883,349.45294767760515
1884,638.0634713212203
1885,508.646986253234
1886,505.41889475498465
1887,425.80722865095595
1888,415.38883627008545
1889,503.89924953487935
1890,402.8425547250663
1891,635.2112100075828
1892,439.34329162839276
1893,432.0676460149116
1894,395.4914630482108
1895,383.23710523382033
1896,497.3678864436806
1897,427.4266360553156
1898,404.8673024285563
1899,547.1830608270466
1900,504.7936457203832
1901,589.7853312264488
1902,465.72007239828963
1903,311.64688196795396
1904,608.1192517543968
1905,513.2748584943329
1906,403.49583325355525
1907,444.58794834135915
1908,646.6208080822071
1909,649.4203369300521
1910,499.70193829140044
1911,418.36649341476004
1912,364.1403554836188
1913,663.7533661585621
1914,458.5852182076102
1915,498.42946514108917
1916,494.75116632938807
1917,462.33454800712934
1918,532.5708635533374
1919,485.92157387247426
1920,514.6261308282192
1921,551.1353616035194
1922,606.931454934238
1923,380.3447826499905
1924,399.2834391629003
1925,496.452021789446
1926,455.34253725491
1927,393.6823555824958
1928,349.1623101346704
1929,372.47368747011933
1930,408.3154076222854
1931,353.5295047013278
1932,506.04469906284066
1933,360.5836900718714
1934,441.0445395948045
1935,498.2730801428261
1936,382.6693683757185
1937,630.3525968720351
1938,598.6453989105939
1939,543.4522187783841
1940,401.62730344600277
1941,498.9501317111717
1942,397.2950394228974
1943,609.6783281580429
1944,538.5472857307832
1945,619.8633491098008
1946,483.03998058472644
1947,682.5444737478392
1948,392.19079406320816
1949,500.3193038464815
1950,311.8591969011277
1951,383.718708017841
1952,569.2490281704522
1953,476.8843949249458
1954,465.15634303941624
1955,454.16745958154934
1956,622.0598816948041
1957,537.1437940877513
1958,418.0300186315435
1959,527.1543898415985
1960,385.7202456193818
1961,566.3070873518791
1962,439.0901859962469
1963,414.2030003167747
1964,594.0416396479122
1965,494.19391113369784
1966,552.3950854567374
1967,480.5526758038468
1968,571.0255749983844
1969,554.7411254379767
1970,476.93077437143074
1971,434.87028782546986
1972,526.5090155022335
1973,500.76814129461127
1974,752.7404535328969
1975,549.2743951919692
1976,427.24593298516993
1977,627.0892682870908
1978,524.1028789205302
1979,495.20653765684983
1980,759.0596235917474
