,,pr
1800,False,36.886578494886635
1800,True,519.1508175164927
1801,False,52.471083214186365
1801,True,306.1499063274823
1802,False,65.97838240741112
1802,True,332.9439798864769
1803,False,174.66007687307865
1803,True,252.48545188223943
1804,False,57.72965926589677
1804,True,555.6947780773044
1805,False,76.57121134870977
1805,True,361.27373760100454
1806,False,114.64441839998472
1806,True,399.90562751772813
1807,False,148.91192489303648
1807,True,282.9647725011455
1808,False,109.41340241915896
1808,True,608.949745958671
1809,False,48.21912119668923
1809,True,328.6639839905547
1810,False,80.99336825307546
1810,True,477.4432196893031
1811,False,59.364956509307376
1811,True,469.29133608355187
1812,False,43.64191222048248
1812,True,447.85995362035464
1813,False,124.97149559785612
1813,True,512.2323399991728
1814,False,88.20612704021187
1814,True,412.3817669649725
1815,False,79.35207718110178
1815,True,336.11068037571386
1816,False,139.17589690972818
1816,True,410.6557067250833
1817,False,88.82423736504279
1817,True,412.2619225134258
1818,False,27.5321044600787
1818,True,380.3204479288979
1819,False,91.65099471647409
1819,True,508.37901343766134
1820,False,109.50465659188922
1820,True,516.8993976723868
1821,False,137.93393298983574
1821,True,321.5045534874662
1822,False,56.30953347572358
1822,True,299.43949101143517
1823,False,93.30014453971671
1823,True,297.31298892293125
1824,False,150.69180922946543
1824,True,425.85815472411923
1825,False,60.71672034850053
1825,True,372.96137647354044
1826,False,106.31216585261427
1826,True,322.11696345184464
1827,False,51.59830272750696
1827,True,291.13044271362014
1828,False,151.9423501986239
1828,True,333.36467098561116
1829,False,67.42482639456284
1829,True,216.05578878661618
1830,False,190.83990836224984
1830,True,687.2617982837255
1831,False,172.49520758377912
1831,True,340.25081434228923
1832,False,84.0634409658378
1832,True,511.27485495235305
1833,False,73.1753617387767
1833,True,538.4318763390183
1834,False,74.58153789993958
1834,True,427.7107765810797
1835,False,99.1125838838343
1835,True,281.68147457472514
1836,False,105.48567844525678
1836,True,408.4257391572464
1837,False,101.64972654747544
1837,True,442.3690945288399
1838,False,72.53159934498399
1838,True,335.255869111279
1839,False,53.46540647497022
1839,True,485.2609502908308
1840,False,129.66630928203813
1840,True,271.53264240478165
1841,False,108.41883985667664
1841,True,254.4009206467308
1842,False,132.48184477124596
1842,True,381.16520569310524
1843,False,112.55261487604002
1843,True,420.69683345616795
1844,False,56.463794879527995
1844,True,364.57952883210965
1845,False,124.02890509147255
1845,True,339.81663052691147
1846,False,56.72413558058906
1846,True,529.9869038513862
1847,False,37.3857787129964
1847,True,350.164198197308
1848,False,97.42579575386117
1848,True,560.002790222643
1849,False,81.59318824691582
1849,True,510.2463651011931
1850,False,115.61565233496367
1850,True,439.9491133284755
1851,False,123.24574650665454
1851,True,398.9917752274778
1852,False,56.368476531497436
1852,True,356.34281212842325
1853,False,25.380935093562584
1853,True,384.99067878437927
1854,False,49.105844529913156
1854,True,370.61739110795315
1855,False,108.80221532206633
1855,True,357.09208869666327
1856,False,76.11108469500323
1856,True,333.3399643044686
1857,False,56.40673449088354
1857,True,311.5365543300868
1858,False,75.1058947207639
1858,True,343.73911706206854
1859,False,86.4551341319384
1859,True,346.11562015197705
1860,False,74.67124323447933
1860,True,529.7403225093149
1861,False,62.85371567282709
1861,True,574.6465502976207
1862,False,95.30990321727586
1862,True,380.35041665425524
1863,False,88.13230505693355
1863,True,415.70262224413455
1864,False,84.03138264675363
1864,True,513.9090766548179
1865,False,72.61177894697539
1865,True,476.7127369850641
1866,False,98.78010476613781
1866,True,269.16146761213895
1867,False,83.34821400640067
1867,True,391.08713830355555
1868,False,95.00607257941738
1868,True,469.1478967841249
1869,False,94.39835914599826
1869,True,339.2421082709916
1870,False,67.83878593814734
1870,True,534.2763876949903
1871,False,81.59616606862983
1871,True,392.48989791667555
1872,False,183.4939811782533
1872,True,364.12864653684665
1873,False,105.00629302659945
1873,True,507.70665024756454
1874,False,97.15619701892138
1874,True,422.3251148010604
1875,False,148.3359154943173
1875,True,400.9198124462273
1876,False,34.677657640349935
1876,True,322.28310846257955
1877,False,82.45551593718119
1877,True,305.1110002590576
1878,False,57.11889037338551
1878,True,242.9301745200064
1879,False,57.928338238230026
1879,True,161.52686413843185
1880,False,148.68637159161153
1880,True,392.32531465095235
1881,False,116.01591021717468
1881,True,268.22346467524767
1882,False,66.46386032698501
1882,True,527.5183403544361
1883,False,97.10720237137593
1883,True,252.34574530622922
1884,False,234.2325317549694
1884,True,403.8309395662509
1885,False,114.34267536556035
1885,True,394.30431088767364
1886,False,102.05445241954294
1886,True,403.3644423354417
1887,False,101.44019560102606
1887,True,324.3670330499299
1888,False,76.41369457496694
1888,True,338.9751416951185
1889,False,71.12271599035012
1889,True,432.77653354452923
1890,False,79.91678447724553
1890,True,322.92577024782076
1891,False,98.99791643783828
1891,True,536.2132935697446
1892,False,96.63843205744342
1892,True,342.70485957094934
1893,False,53.43058571306756
1893,True,378.63706030184403
1894,False,74.19734394538864
1894,True,321.29411910282215
1895,False,85.21652704639564
1895,True,298.0205781874247
1896,False,94.01827253313968
1896,True,403.34961391054094
1897,False,97.50670567664201
1897,True,329.9199303786736
1898,False,96.49465588163366
1898,True,308.3726465469226
1899,False,57.58371042957151
1899,True,489.59935039747506
1900,False,92.19285848612344
1900,True,412.60078723425977
1901,False,119.07590419068583
1901,True,470.70942703576293
1902,False,76.4621548829382
1902,True,389.25791751535144
1903,False,48.63121191801838
1903,True,263.0156700499356
1904,False,104.31881566400989
1904,True,503.80043609038694
1905,False,73.36028617683041
1905,True,439.91457231750246
1906,False,42.55540281797039
1906,True,360.94043043558486
1907,False,75.02247212032671
1907,True,369.56547622103244
1908,False,94.11394019289219
1908,True,552.5068678893149
1909,False,72.36990410819999
1909,True,577.0504328218522
1910,False,55.99190723369247
1910,True,443.71003105770797
1911,False,49.24594710664678
1911,True,369.12054630811326
1912,False,27.215937866935747
1912,True,336.92441761668306
1913,False,65.15579888618959
1913,True,598.5975672723725
1914,False,91.06355987447533
1914,True,367.52165833313484
1915,False,88.5808278399054
1915,True,409.84863730118377
1916,False,38.35649349466621
1916,True,456.39467283472186
1917,False,73.18036534452403
1917,True,389.1541826626053
1918,False,93.44740260312392
1918,True,439.1234609502135
1919,False,109.0829002969258
1919,True,376.83867357554846
1920,False,139.29478745976667
1920,True,375.3313433684525
1921,False,145.64229566749418
1921,True,405.49306593602523
1922,False,192.67634683346841
1922,True,414.2551081007696
1923,False,74.04989551250765
1923,True,306.2948871374829
1924,False,68.51775476861803
1924,True,330.7656843942823
1925,False,94.5827917472343
1925,True,401.8692300422117
1926,False,68.51346613839269
1926,True,386.8290711165173
1927,False,107.63159859088773
1927,True,286.05075699160807
1928,False,70.58360795472254
1928,True,278.57870217994787
1929,False,78.19181227059744
1929,True,294.2818751995219
1930,False,92.35671683345572
1930,True,315.9586907888297
1931,False,28.29527934682119
1931,True,325.23422535450663
1932,False,53.330267209457816
1932,True,452.71443185338285
1933,False,56.45691535719379
1933,True,304.1267747146776
1934,False,70.47790973774681
1934,True,370.5666298570577
1935,False,77.40508699280326
1935,True,420.8679931500228
1936,False,63.386436477230745
1936,True,319.28293189848773
1937,False,48.308541954975226
1937,True,582.0440549170598
1938,False,108.59136065046187
1938,True,490.0540382601321
1939,False,116.28839430441076
1939,True,427.16382447397336
1940,False,132.99530601507286
1940,True,268.6319974309299
1941,False,78.72254328322015
1941,True,420.22758842795156
1942,False,97.14683222628082
1942,True,300.14820719661657
1943,False,142.89941338211065
1943,True,466.7789147759322
1944,False,117.8209081876048
1944,True,420.7263775431784
1945,False,58.3681888449064
1945,True,561.4951602648944
1946,False,114.13760528885177
1946,True,368.90237529587466
1947,False,84.94269275979605
1947,True,597.6017809880432
1948,False,114.39898741518846
1948,True,277.7918066480197
1949,False,76.37705117886071
1949,True,423.9422526676208
1950,False,71.71597515487065
1950,True,240.14322174625704
1951,False,59.9596102925716
1951,True,323.7590977252694
1952,False,84.67592389206402
1952,True,484.5731042783882
1953,False,54.628197048532456
1953,True,422.25619787641335
1954,False,55.648171140637714
1954,True,409.5081718987785
1955,False,69.66261052093614
1955,True,384.5048490606132
1956,False,87.42061123666645
1956,True,534.6392704581376
1957,False,75.61430847417796
1957,True,461.52948561357334
1958,False,132.1129549338366
1958,True,285.9170636977069
1959,False,95.6936637754552
1959,True,431.46072606614325
1960,False,95.73988703552914
1960,True,289.98035858385265
1961,False,41.604922739634276
1961,True,524.7021646122448
1962,False,75.92249917179288
1962,True,363.167686824454
1963,False,103.76929743724759
1963,True,310.4337028795271
1964,False,192.42239017621614
1964,True,401.6192494716961
1965,False,90.40161494376662
1965,True,403.7922961899312
1966,False,104.892927543915
1966,True,447.50215791282244
1967,False,56.17383405515284
1967,True,424.37884174869396
1968,False,65.74372599079652
1968,True,505.2818490075879
1969,False,132.61289384154225
1969,True,422.1282315964345
1970,False,90.63704806321766
1970,True,386.2937263082131
1971,False,79.35372292849934
1971,True,355.5165648969705
1972,False,72.60099759878358
1972,True,453.90801790344995
1973,False,43.04217825738306
1973,True,457.7259630372282
1974,False,94.16854557202896
1974,True,658.571907960868
1975,False,119.21110303483147
1975,True,430.06329215713777
1976,False,77.6340639906266
1976,True,349.61186899454333
1977,False,184.98004908688017
1977,True,442.10921920021065
1978,False,130.5225817086466
1978,True,393.5802972118836
1979,False,85.69960740605893
1979,True,409.5069302507909
1980,False,99.49991047687945
1980,True,659.5597131148679
1981,False,74.77836494908843
1981,True,496.6320073523093
1982,False,59.59159278168045
1982,True,330.0703908316791
1983,False,116.2262592537445
1983,True,432.5903686200036
1984,False,45.901742108874956
1984,True,482.6003747060895
1985,False,91.70748726392048
1985,True,403.1881073009572
1986,False,107.99116450725705
1986,True,289.14715593127767
1987,False,51.189066663027916
1987,True,328.59597191854846
1988,False,150.34269156167284
1988,True,332.93646029778756
1989,False,80.87619376019575
1989,True,421.72972478874726
1990,False,92.07651629658358
1990,True,453.08062960684765
1991,False,67.31028038957447
1991,True,273.720530277933
1992,False,102.45207571897481
1992,True,408.03434952831594
1993,False,42.85844024252583
1993,True,502.5438038923312
1994,False,50.87882388397702
1994,True,422.5071508786641
1995,False,46.530605654697865
1995,True,344.4831615546718
1996,False,84.47976737879799
1996,True,412.46605569758685
1997,False,51.62711357152148
1997,True,419.3731168663362
1998,False,73.77814085957652
1998,True,292.8324279404478
1999,False,110.59640020030201
1999,True,409.82401026121806
2000,False,73.89442037638219
2000,True,334.5400768055697
2001,False,155.43497829967237
2001,True,519.4659752945881
2002,False,113.54739423186402
2002,True,377.2197396727279
2003,False,81.21893973111582
2003,True,294.104781904025
2004,False,98.57778847981535
2004,True,425.0644326035399
2005,False,62.727923475176794
2005,True,442.4886395892827
2006,False,54.43478122115266
2006,True,407.07814396591857
2007,False,51.25260542627075
2007,True,427.2518452227814
2008,False,53.78109498960839
2008,True,420.5936037178617
2009,False,119.21878712164471
2009,True,450.1848097803304
2010,False,46.16453032940626
2010,True,627.9899164277595
2011,False,32.46716325620582
2011,True,391.48328381124884
2012,False,65.22575161761779
2012,True,270.70760389615316
2013,False,38.43492368337138
2013,True,274.74540256516775
2014,False,53.82162186797359
2014,True,415.4556562905782
2015,False,64.31381924157904
2015,True,387.12915372743737
2016,False,93.43864832080726
2016,True,255.7254775747424
2017,False,63.09291009561093
2017,True,298.95266226631065
2018,False,51.935708172095474
2018,True,446.82576944469474
2019,False,79.22548986825859
2019,True,478.87530297157355
2020,False,72.47888673300622
2020,True,389.65217843069695
2021,False,46.16419723715808
2021,True,412.45200195699
2022,False,45.26437748063472
2022,True,335.4680654243566
2023,False,56.38513257922568
2023,True,283.08571448433213
2024,False,66.32611956592882
2024,True,388.9487528242171
2025,False,91.25209746271139
2025,True,398.6090917896945
2026,False,90.14587745950848
2026,True,318.9357853203546
2027,False,60.05234203112195
2027,True,434.801787690958
2028,False,62.31854685502185
2028,True,300.32964378478937
2029,False,69.74108287413401
2029,True,489.2882267769892
2030,False,55.54252046968031
2030,True,395.9210888366215
2031,False,53.65514461955172
2031,True,613.0113525068737
