,pr
1979,615.4063631944382
1980,447.36083956067887
1981,540.9081784280716
1982,362.1231653307973
1983,311.2465249001616
1984,395.2111709762903
1985,674.6071220495651
1986,530.5234719198779
1987,473.25955208543746
1988,459.18886360450415
1989,451.9660497455334
1990,433.23687843549123
1991,572.7251982229063
1992,481.15425088471966
1993,444.84486688816105
1994,472.85533231988666
1995,403.19795092291315
1996,352.257065771627
1997,605.9089750255225
1998,733.940795154922
1999,535.7050848226208
2000,653.2573947872152
2001,569.5410951542726
2002,700.6102443167947
2003,474.7751576178416
2004,482.6675013740896
2005,500.4263394665031
2006,401.16698429010285
2007,454.16636656827905
2008,482.67250335666176
2009,481.1506294801802
2010,543.5925390251214
2011,410.3383609510274
2012,532.0709157316742
2013,584.8303874414341
2014,433.3578393467178
2015,340.51399361087533
2016,426.88043895796
2017,678.519219831287
2018,562.5508084056491
2019,448.0916248237918
2020,556.26128882177
2021,446.24946716230625
2022,488.9778062934056
2023,384.47884238066763
2024,477.8149053195193
2025,500.4902151184069
2026,474.6644011351236
2027,361.4414052630309
2028,555.7229678321164
2029,393.67982605672296
