,,pr
1979,False,105.30801917668668
1979,True,510.0983440177515
1980,False,82.37888838029903
1980,True,364.98195118037984
1981,False,112.38572026777547
1981,True,428.5224581602961
1982,False,99.33688151528486
1982,True,262.78628381551243
1983,False,71.80882980228489
1983,True,239.4376950978767
1984,False,87.2150438679455
1984,True,307.9961271083448
1985,False,151.03895161337277
1985,True,523.5681704361923
1986,False,62.89566176128574
1986,True,467.6278101585922
1987,False,88.68654577563575
1987,True,384.5730063098017
1988,False,106.35654029465513
1988,True,352.832323309849
1989,False,47.468798461341066
1989,True,404.4972512841923
1990,False,76.39409553994483
1990,True,356.8427828955464
1991,False,97.46535966696683
1991,True,475.2598385559395
1992,False,54.676815956190694
1992,True,426.47743492852896
1993,False,89.45457262525451
1993,True,355.39029426290654
1994,False,84.62777290333179
1994,True,388.22755941655487
1995,False,106.48046575734043
1995,True,296.7174851655727
1996,False,51.61751038955035
1996,True,300.63955538207665
1997,False,154.785907707992
1997,True,451.1230673175305
1998,False,167.3930630007817
1998,True,566.5477321541402
1999,False,40.06368035952619
1999,True,495.64140446309466
2000,False,72.3253076619585
2000,True,580.9320871252567
2001,False,114.98928689470631
2001,True,454.5518082595663
2002,False,197.6889611270053
2002,True,502.9212831897894
2003,False,128.43967477601836
2003,True,346.33548284182325
2004,False,63.65000778314425
2004,True,419.0174935909454
2005,False,122.81865870245383
2005,True,377.6076807640493
2006,False,40.18479822516383
2006,True,360.982186064939
2007,False,51.19839671333466
2007,True,402.9679698549444
2008,False,58.865539321050164
2008,True,423.8069640356116
2009,False,86.10989067638002
2009,True,395.0407388038002
2010,False,122.45492689835373
2010,True,421.13761212676764
2011,False,63.356386396662856
2011,True,346.98197455436457
2012,False,72.93920129195612
2012,True,459.13171443971805
2013,False,75.81664655426721
2013,True,509.01374088716693
2014,False,116.01811750952038
2014,True,317.33972183719743
2015,False,59.161988730556914
2015,True,281.3520048803184
2016,False,66.87761533576122
2016,True,360.0028236221988
2017,False,92.27189030680165
2017,True,586.2473295244854
2018,False,158.4993207718071
2018,True,404.05148763384204
2019,False,78.03404722471896
2019,True,370.05757759907283
2020,False,156.7949198280985
2020,True,399.4663689936715
2021,False,99.6023108733425
2021,True,346.64715628896374
2022,False,77.87415861384943
2022,True,411.10364767955616
2023,False,126.86675679378823
2023,True,257.6120855868794
2024,False,119.28857363845964
2024,True,358.5263316810597
2025,False,77.69248427102866
2025,True,422.79773084737826
2026,False,54.95896902302775
2026,True,419.7054321120959
2027,False,88.62731809203979
2027,True,272.8140871709911
2028,False,95.08030412835069
2028,True,460.6426637037657
2029,False,118.86373261568224
2029,True,274.8160934410407
