,pr
1979,223.03828831172723
1980,332.2630386648598
1981,343.06395533192244
1982,389.1935182924499
1983,406.00082129421935
1984,277.87498827692616
1985,259.06984121675123
1986,359.65827488071227
1987,197.0570480938477
1988,146.073620214338
1989,286.85760545679386
1990,226.80911902219236
1991,272.86755847617314
1992,331.6533701169192
1993,264.0449985617309
1994,348.3329389122446
1995,307.2306018123527
1996,199.41359515332806
1997,270.9044948298924
1998,251.83869313405012
1999,227.84713162736807
2000,329.14712930423775
2001,154.77396498562257
2002,275.5010177332224
2003,208.04028354602906
2004,266.32446291014276
2005,246.743695418445
2006,210.62197794594096
2007,247.41352116579947
2008,219.28467630496016
