,pr
2000,432.30599936650833
2001,367.8532788325924
2002,403.09080490242195
2003,548.1546134986274
2004,413.5127442157682
2005,427.9724726211498
2006,282.7253124632989
2007,385.5825775899575
2008,266.00456242777
2009,448.4295448419289
2010,488.2919631374932
2011,471.5246590614697
2012,399.3289052086766
2013,363.55146517494177
2014,435.16360247696184
2015,385.50355647093966
2016,482.86954672767024
2017,433.35318577771886
2018,458.6217370700979
2019,357.3035734521568
2020,330.4589172041233
2021,282.7215176417667
2022,422.9787471142117
2023,364.96807269355287
2024,383.65867831380456
2025,311.30926809391894
2026,581.2177457667531
2027,418.67348804436233
2028,434.14369650818116
2029,458.4062601632141
2030,540.4329312172194
2031,576.335052473587
2032,382.14046795110335
2033,548.4773660373321
2034,369.48290074615215
2035,450.72272949946637
2036,317.3261901131809
2037,448.72811059931337
2038,394.39464203605894
2039,532.8511150900795
2040,466.85455343358626
2041,415.20037168018007
2042,563.6343531179591
2043,388.250466421232
2044,522.9367615818774
2045,580.4683676506102
2046,443.7314468677869
2047,593.4843124603503
2048,407.8737854752035
2049,348.27719547611196
2050,379.23543447632255
2051,375.4130195453399
2052,567.7050358233828
2053,412.2875550085155
2054,365.47370162843436
2055,484.30002839522786
2056,694.9633578682551
2057,509.3991895153181
2058,582.6865099377756
2059,384.7360746054619
2060,574.2162787961206
2061,654.8084697573358
2062,678.5993680085085
2063,292.76212177428533
2064,516.9640040428931
2065,582.8868695612982
2066,449.22070569518837
2067,513.7003312981506
2068,277.34705428492816
2069,373.74092006793944
2070,625.2522487437091
2071,514.1992987087974
2072,500.60826142089354
2073,457.5089657009812
2074,461.95665183113306
2075,336.49711717898754
2076,492.5591111270478
2077,439.3745638575126
2078,472.00713364527473
2079,608.9239560475107
2080,635.6865641319018
2081,489.6798837951792
2082,696.4998866544192
2083,545.6324134231579
2084,341.6084758915531
2085,501.48164377897047
2086,486.54054389080557
2087,679.2840423317102
2088,430.0439936453629
2089,487.18733582936693
2090,322.17189441144
2091,485.74755195104444
2092,388.94522589780536
2093,246.22378443273192
2094,596.173642491749
2095,479.03822502921685
2096,328.9705841041723
2097,409.79903556217323
2098,441.74338252587404
2099,289.18429432706034
2100,462.62925940118294
2101,421.21894535202955
2102,518.943233594473
2103,663.1586311057276
2104,446.8723448484525
2105,552.7930869928241
2106,515.9044963942506
2107,405.594686103359
2108,445.655186585941
2109,477.98925519600743
2110,661.9566674436101
2111,389.14776613004295
2112,495.7831347677711
2113,767.6574170809545
2114,912.6260564647964
2115,441.48445135724614
2116,359.2495162458363
2117,453.4370675590253
2118,472.81649834203563
2119,441.21226391433197
2120,290.4727496777923
2121,394.9740938971445
2122,526.4269398965553
2123,402.3696316555288
2124,380.1285458044731
2125,563.5024508637457
2126,305.1065932279016
2127,482.89347058162093
2128,336.1367201527173
2129,733.4311506172526
2130,380.139136676371
2131,426.550970687822
2132,456.68706597607525
2133,519.2441957514802
2134,712.2521894692909
2135,332.9863669162478
2136,414.6575858530923
2137,623.5555275452498
2138,391.05849092629796
2139,450.2935862508366
2140,416.21743212554065
2141,430.3445822178219
2142,633.3804216947215
2143,636.2236346529244
2144,654.8707796630765
2145,434.212444771174
2146,559.2327935799403
2147,510.46679559908625
2148,418.6736949700389
2149,459.00670355658804
2150,458.2915446771949
2151,582.3827813070238
2152,379.2128803612286
2153,616.6169849795551
2154,526.2677832812187
2155,565.6670685906647
2156,442.25540250738504
2157,401.0009004443418
2158,486.70013872906566
2159,555.3217083550408
2160,426.17589364544983
2161,370.3884431750339
2162,617.3461499012774
2163,748.5811480451957
2164,447.64244046432395
2165,353.9410601063537
2166,393.6027079399537
2167,384.47561923603644
2168,394.2855377185424
2169,390.8105961727415
2170,464.6157371298614
2171,354.2516971745499
2172,484.85917825382785
2173,417.5815648863136
2174,476.73628118791385
