,,pr
2000,False,36.1175888494472
2000,True,396.18841051706113
2001,False,49.16813555242925
2001,True,318.6851432801632
2002,False,71.87526227189664
2002,True,331.2155426305253
2003,False,102.04764378649998
2003,True,446.10696971212747
2004,False,85.75640529707016
2004,True,327.756338918698
2005,False,154.38966476558562
2005,True,273.58280785556417
2006,False,76.47051776148146
2006,True,206.25479470181745
2007,False,108.6505649072933
2007,True,276.9320126826642
2008,False,30.848052853616537
2008,True,235.15650957415346
2009,False,145.0258867102093
2009,True,303.40365813171957
2010,False,98.38656324722592
2010,True,389.9053998902673
2011,False,85.24448735151964
2011,True,386.2801717099501
2012,False,84.97020114446059
2012,True,314.358704064216
2013,False,25.29838669329365
2013,True,338.2530784816481
2014,False,45.07073028172499
2014,True,390.09287219523685
2015,False,111.77842252436676
2015,True,273.7251339465729
2016,False,114.19084016051784
2016,True,368.6787065671524
2017,False,57.99140867491133
2017,True,375.36177710280754
2018,False,47.408718441329256
2018,True,411.2130186287686
2019,False,76.90323356561066
2019,True,280.40033988654613
2020,False,53.31508519757335
2020,True,277.1438320065499
2021,False,37.88615388402832
2021,True,244.83536375773838
2022,False,37.55083948690299
2022,True,385.42790762730874
2023,False,53.11678480134816
2023,True,311.8512878922047
2024,False,40.66885885986267
2024,True,342.9898194539419
2025,False,63.776450918248884
2025,True,247.53281717567006
2026,False,90.40952567838758
2026,True,490.8082200883655
2027,False,80.26928408427239
2027,True,338.40420396008994
2028,False,88.03627275738108
2028,True,346.1074237508001
2029,False,61.47359825150858
2029,True,396.9326619117055
2030,False,65.05359113434679
2030,True,475.37934008287266
2031,False,144.23288458201569
2031,True,432.1021678915713
2032,False,82.97520536070806
2032,True,299.1652625903953
2033,False,100.26120933653146
2033,True,448.21615670080064
2034,False,51.32058120398142
2034,True,318.16231954217074
2035,False,36.5671435592958
2035,True,414.15558594017057
2036,False,96.08101485364386
2036,True,221.24517525953706
2037,False,121.7152105446985
2037,True,327.0129000546149
2038,False,109.99647561111487
2038,True,284.39816642494407
2039,False,47.08288169908883
2039,True,485.76823339099064
2040,False,122.23803467313701
2040,True,344.61651876044925
2041,False,109.39747033335152
2041,True,305.80290134682855
