,pr
2430,369.90954008209513
2431,711.5444010576539
2432,452.9746404535217
2433,435.593650122712
2434,593.517505664363
2435,333.0957753605617
2436,474.75392456599366
2437,358.2399182532754
2438,454.49485491699306
2439,402.7357906001271
2440,304.39696938083216
2441,530.7541313805359
2442,340.3388779812303
2443,319.1103867386573
2444,526.3281548694465
2445,543.2481030857161
2446,395.5752971493439
2447,591.9154304283438
2448,634.2164116500498
2449,454.8517101799007
2450,417.10583359599696
2451,400.54987089442875
2452,433.33290786194993
2453,387.1783821607096
2454,431.8249975121489
2455,496.398482080383
2456,268.95899437877233
2457,548.9690785409039
2458,658.4993918502732
2459,414.9671747037246
