time,pr
1979,604.9494508188218
1980,1382.6816158834845
1981,763.0790635943413
1982,613.3398951496929
1983,744.3076996598393
1984,788.7973207980394
1985,766.6207525413483
1986,513.6097015812993
1987,1059.156152838841
1988,231.36178320273757
1989,255.72358528152498
1990,670.4736490733968
1991,808.8666251627772
1992,936.9906756095588
1993,1544.4257496390492
1994,552.654275810346
1995,1365.154784778133
1996,299.38550835940987
1997,1232.393830921501
1998,755.2479390520602
1999,360.3659152518958
2000,577.2831680718809
2001,650.2125527244106
2002,592.4637397751212
2003,366.0541727207601
2004,473.23961653746665
2005,837.358224671334
2006,453.4701351542026
2007,543.5290399007499
2008,1030.600214889273
