,pr
1850,607.8210267238319
1851,776.609591441229
1852,693.0143774952784
1853,595.7805129233748
1854,367.5972618162632
1855,750.2203863579819
1856,507.6059446670115
1857,521.6664133127779
1858,518.4009248390794
1859,856.7137190373614
1860,933.110084105283
1861,801.361571950838
1862,488.35132922977664
1863,569.6922347182408
1864,442.1373115153983
1865,747.997181257233
1866,796.4253371581435
1867,382.9275837633759
1868,332.2175062727183
1869,517.694566771388
1870,450.5857393378392
1871,479.6363682020494
1872,688.7878665234894
1873,651.808313280344
1874,629.9353932961822
1875,874.7111828997731
1876,691.4901489391923
1877,347.8098546853289
1878,522.6032468955964
1879,435.5698946630582
1880,528.6921019200236
1881,855.0060531590134
1882,857.8333826735616
1883,583.0010509584099
1884,828.5410997690633
1885,575.5013254936829
1886,578.7925933487757
1887,445.79658997245133
1888,512.9220116883516
1889,901.1226281058043
1890,994.3477001739666
1891,629.9162775278091
1892,620.6083768978715
1893,797.402685508132
1894,447.34681542031467
1895,987.1611412614621
1896,925.8851220365614
1897,458.63340112846345
1898,752.429832983762
1899,966.9236454181373
1900,982.1155754383694
1901,818.932978855446
1902,594.4692484103143
1903,669.635893357922
1904,701.0521897114813
1905,718.6288860160857
1906,404.91852136328816
1907,1050.013490952556
1908,282.95728261582553
1909,798.2339900918305
1910,623.8767520990223
1911,986.3236596342176
1912,757.3912524618208
1913,757.8848319360986
1914,814.3256776034832
1915,582.8724495135248
1916,648.3865404501557
1917,1347.6699891267344
1918,536.9372794870287
1919,862.694552494213
1920,574.0507952403318
1921,882.0867212489247
1922,452.31782924384277
1923,678.8206956814975
1924,484.1851019533351
1925,776.9505427451804
1926,481.1669347342104
1927,865.9870449453633
1928,1177.0338226575404
1929,883.3981328643858
1930,453.1352747697383
1931,457.4313771212516
1932,695.8699971903116
1933,440.27184122242033
1934,408.9544504880905
1935,238.6697600595653
1936,867.3996240366295
1937,728.6159848328723
1938,370.4182068351656
1939,588.0246476037428
1940,650.1964670140296
1941,803.5196584649384
1942,917.9551006760448
1943,667.2763387905434
1944,916.6502131149173
1945,676.7337262630463
1946,527.321341400966
1947,674.7580052353442
1948,449.8209910467267
1949,865.0324936956167
1950,655.1344054285437
1951,412.94789342209697
1952,831.1353807337582
1953,299.9073264654726
1954,552.0041309762746
1955,292.11943557020277
1956,874.9250515596982
1957,557.2166844271167
1958,644.5667412132025
1959,688.5240213945508
1960,504.72849220968783
1961,446.05619302019477
1962,879.1724290698767
1963,829.1296495590359
1964,835.3372891433537
1965,896.1213143309578
1966,869.2891179118305
1967,775.6640649866313
1968,701.224925648421
1969,574.5729169808328
1970,557.1315926034003
1971,576.7566954949871
1972,449.6164156123996
1973,704.9736819695681
1974,471.3909517508
1975,456.65233223699033
1976,360.0597360637039
1977,598.4113287180662
1978,632.8056521946564
1979,545.9844920318618
1980,407.19288289546967
1981,830.5887280963361
1982,455.1843055989593
1983,494.9974898714572
1984,261.92323544528756
1985,685.7405698858202
1986,348.0447288136929
1987,693.761186208576
1988,806.8886655382812
1989,587.7080914098769
1990,784.0571860782802
1991,566.4789908565622
1992,911.5944293327675
1993,736.2820101901889
1994,542.8252529818565
1995,356.9039507769048
1996,660.7563825789882
1997,441.56275405548513
1998,402.9917552601546
1999,862.0853461325169
2000,1355.0146479159594
2001,477.37291739322654
2002,827.6340971700847
2003,1721.329071186483
2004,914.8359476588666
2005,321.00628414191306
2006,782.1188956964806
2007,415.30307829380035
2008,735.0722953677177
2009,777.1691237110645
2010,439.83203773386776
2011,449.55973089672625
2012,399.67239084653556
2013,944.1463618772104
2014,690.3756546322256
2015,746.6579301981255
2016,468.202604027465
2017,646.6262653470039
2018,429.4752743560821
2019,739.6797738969326
2020,1753.771571489051
2021,873.9892520941794
2022,493.6090783216059
2023,721.0029873764142
2024,706.1059354338836
2025,863.4353941306518
2026,526.6938471933827
2027,331.3218538183719
2028,531.7744642496109
2029,498.70096631348133
2030,825.5761094391346
2031,609.2559377197176
2032,642.8510959725827
2033,679.9346229527146
2034,250.70708286948502
2035,331.03800024837705
2036,726.5171730425291
2037,494.79170870035887
2038,475.27515669353306
2039,778.9718812331597
2040,867.3490434419364
2041,379.37097335234284
2042,1020.0777752324939
2043,1024.5438776677474
2044,337.41660551168025
2045,887.5597741920501
2046,563.492506602779
2047,266.0433530341834
2048,631.1276331078261
2049,796.8046526424587
2050,350.3863450605422
2051,699.9700522748753
2052,480.24552930146456
2053,668.1890079751611
2054,998.5433906782459
2055,776.3676017057151
2056,513.4407060686499
2057,626.3526036869778
2058,541.1105400184169
2059,896.724364394322
2060,756.5908437827602
2061,673.5320249106775
2062,595.6995864864439
2063,759.4104843679816
2064,1321.571915410459
2065,636.4008857868612
2066,551.7001658678055
2067,644.5973372552544
2068,660.9925623983145
2069,679.0332221891731
2070,388.80711898673326
2071,422.028204635717
2072,722.09190975409
2073,574.099453445524
2074,562.2946052346379
2075,506.06969143263996
2076,914.9152697995305
2077,462.7872114535421
2078,782.8867828007827
2079,733.5721865762025
2080,829.2085580527782
2081,316.80366662330925
2082,547.1451111137953
2083,517.0409090816975
2084,754.9436721950769
2085,685.2881489088759
2086,500.49922401085496
2087,742.6442940020934
2088,477.9404434841126
2089,602.8695473447442
2090,620.3260949347168
2091,794.7890530340374
2092,527.4390233214945
2093,939.1468799673021
2094,1071.2056172546
2095,260.8288627350703
2096,499.1179802455008
2097,388.4466137504205
2098,705.3945337655023
2099,490.4191237874329
2100,673.8070636522025
2101,632.9366701422259
2102,854.9174742540345
2103,753.389177005738
2104,673.6248603556348
2105,590.1198013219982
2106,813.2284093648195
2107,563.2310301996768
