,,pr
1850,False,24.326005904003978
1850,True,583.4950208198279
1851,False,59.28774671629071
1851,True,717.3218447249383
1852,False,25.764286424969075
1852,True,667.2500910703093
1853,False,91.10202295705676
1853,True,504.678489966318
1854,False,34.98280914500356
1854,True,332.61445267125964
1855,False,22.040952416140698
1855,True,728.1794339418411
1856,False,107.58313578553498
1856,True,400.0228088814765
1857,False,18.303408566862345
1857,True,503.36300474591553
1858,False,43.398450734093785
1858,True,475.0024741049856
1859,False,46.38081423472613
1859,True,810.3329048026353
1860,False,15.209509385749698
1860,True,917.9005747195333
1861,False,57.58461523801088
1861,True,743.7769567128271
1862,False,40.34561952576493
1862,True,448.0057097040117
1863,False,39.29232044611126
1863,True,530.3999142721295
1864,False,54.53130060341209
1864,True,387.60601091198623
1865,False,53.91464293934405
1865,True,694.082538317889
1866,False,31.88648340292275
1866,True,764.5388537552208
1867,False,35.55764383636415
1867,True,347.3699399270117
1868,False,25.832838658243418
1868,True,306.3846676144749
1869,False,89.23560152761638
1869,True,428.4589652437717
1870,False,25.153504055924714
1870,True,425.4322352819145
1871,False,16.345921950418642
1871,True,463.2904462516308
1872,False,51.34782297536731
1872,True,637.440043548122
1873,False,32.83823216333985
1873,True,618.9700811170042
1874,False,34.51783605851233
1874,True,595.4175572376698
1875,False,56.75641614943743
1875,True,817.9547667503357
1876,False,40.42857773602009
1876,True,651.0615712031722
1877,False,64.63538857642561
1877,True,283.1744661089033
1878,False,80.03832567483187
1878,True,442.5649212207645
1879,False,42.06372338812798
1879,True,393.50617127493024
1880,False,45.51736651919782
1880,True,483.17473540082574
1881,False,45.14449085108936
1881,True,809.861562307924
1882,False,48.80949812941253
1882,True,809.023884544149
1883,False,42.98450709320605
1883,True,540.0165438652039
1884,False,61.34234166238457
1884,True,767.1987581066787
1885,False,11.326749064032693
1885,True,564.1745764296502
1886,False,14.148022234444213
1886,True,564.6445711143315
1887,False,32.32209007255733
1887,True,413.474499899894
1888,False,18.934606108814478
1888,True,493.98740557953715
1889,False,12.425290932878852
1889,True,888.6973371729255
1890,False,76.03685434442014
1890,True,918.3108458295465
1891,False,65.0335262529552
1891,True,564.882751274854
1892,False,52.25436226464808
1892,True,568.3540146332234
1893,False,59.19008580967784
1893,True,738.2125996984541
1894,False,79.34893844649196
1894,True,367.9978769738227
1895,False,38.14582382329186
1895,True,949.0153174381703
1896,False,98.4261006116867
1896,True,827.4590214248747
1897,False,30.522447475232184
1897,True,428.11095365323126
1898,False,207.91567345149815
1898,True,544.5141595322639
1899,False,297.5933415815234
1899,True,669.3303038366139
1900,False,116.63977545686066
1900,True,865.4757999815088
1901,False,53.69660574942827
