time,pr
1850,422.0951280556619
1851,717.5743082771078
1852,507.28923194110394
1853,561.5660032723099
1854,648.8586373161525
1855,695.9872038569301
1856,351.39672607183456
1857,700.321327149868
1858,370.07771506905556
1859,512.4272509943694
1860,701.5541898552328
1861,546.7606319580227
1862,329.97811236418784
1863,472.89185263216496
1864,588.2417713757692
1865,385.4973998386413
1866,575.4844187758863
1867,479.3815277516842
1868,431.6359923686832
1869,701.2400891399011
1870,601.8731215735897
1871,679.5968356076671
1872,722.499062167485
1873,716.0641845781356
1874,798.9045620430261
1875,430.9862310066819
1876,707.8082735650241
1877,357.40918717347085
1878,289.5388841629111
1879,675.8220044430345
