,pr
1850,1151.7689124215394
1851,1180.5231739534065
1852,746.7300763819367
1853,474.4462246075315
1854,710.7702570967376
1855,570.0934602878988
1856,784.0783323626965
1857,1162.5168594298884
1858,791.7184739839327
1859,1020.7769724307582
1860,987.4123632442206
1861,626.0467488784343
1862,396.6565936105326
1863,760.6836342718452
1864,584.5737918745726
1865,678.8258970715106
1866,538.3455561473966
1867,1053.7005132995546
1868,990.7343497266993
1869,657.7571783680469
1870,602.0048769190907
1871,895.5471453722613
1872,685.2646282408386
1873,787.0416963938624
1874,1264.9910640902817
1875,524.9588982202113
1876,651.7924079904333
1877,789.483615104109
1878,844.2864208482206
1879,686.8376206140965
1880,909.4491885043681
1881,726.3443478383124
1882,1419.9476579669863
1883,1148.5577059909701
1884,857.1084494702518
1885,978.2076235162094
1886,415.3824695851654
1887,954.2913575191051
1888,984.0091039426625
1889,875.9194128680974
1890,833.8938216911629
1891,1122.672972874716
1892,545.4313958063722
1893,778.1264460179955
1894,399.2130868602544
1895,508.2783774007112
1896,734.3094990123063
1897,718.7556908000261
1898,1182.8841555397958
1899,396.44592851400375
1900,1244.3568531889468
1901,566.8946997262537
1902,602.5858936831355
1903,884.5072384458035
1904,797.3527021240443
1905,1131.2033115886152
1906,397.9704261291772
1907,763.4847355540842
1908,786.0503620002419
1909,696.7390429694206
1910,616.5895116515458
1911,715.6486177816987
1912,343.202184420079
1913,850.3106966614723
1914,860.2669567801058
1915,596.5945713222027
1916,692.9902652744204
1917,854.3950878549367
1918,1055.3591331001371
1919,1190.373380156234
1920,422.70393082872033
1921,332.9120031092316
1922,1113.8981839176267
1923,609.7474734764546
1924,549.3742631748319
1925,1075.5788402399048
1926,618.6028833501041
1927,510.3008719626814
1928,1064.2723504453897
1929,1131.2044167425483
1930,1442.1459785196973
1931,443.1033776141703
1932,713.6949419975281
1933,509.86559092998505
1934,956.2768765725195
1935,509.76310833357275
1936,469.07996989320964
1937,872.9059447534382
1938,796.7505579348654
1939,561.8543692398816
1940,545.7724835257977
1941,357.34298794995993
1942,672.9991697240621
1943,1099.1802492644638
1944,725.9448755532503
1945,986.4977220073389
1946,1523.0162663385272
1947,847.5433252053335
1948,955.9212395455688
1949,653.0042752856389
1950,529.6223033219576
1951,654.8023324459791
1952,528.9937925990671
1953,458.502265624702
1954,887.1700282674283
1955,437.5035840086639
1956,833.6225252598524
1957,519.5512329228222
1958,872.6934855105355
1959,1007.1193839423358
1960,625.9683307260275
1961,1385.9945241361856
1962,934.7624193644151
1963,607.6898943632841
1964,449.72514817491174
1965,478.85837126523256
1966,1505.352166062225
1967,601.7250667791814
1968,810.4641754645854
1969,812.8725510556251
1970,730.7456051465166
1971,1056.883140373975
1972,918.0662975180894
1973,799.0248955786228
1974,533.5322926752269
1975,664.8185946280137
1976,643.915589293465
1977,810.5012955609709
1978,1269.1214706748724
1979,609.0677774045616
1980,666.2510608322918
1981,1033.4731071721762
1982,810.9805966727436
1983,1340.7645881641656
1984,647.4713516654447
1985,524.4348515756428
1986,1153.4372560679913
1987,658.6945450399071
1988,981.6251272335649
1989,522.1315460745245
1990,811.1969264689873
1991,916.9285937212408
1992,1251.6972818411887
1993,983.0029046628624
1994,543.9321608282626
1995,696.9194144010544
1996,770.3661317937076
1997,846.2537658400834
1998,481.62469980306923
1999,1109.2773052398115
2000,1002.4982588365674
2001,714.9555366486311
2002,770.9817276801914
2003,817.4514741171151
2004,813.2798713166267
2005,636.4614768885076
2006,535.8012126758695
2007,571.7101760208607
2008,778.4884423948824
2009,1108.833201834932
2010,541.8735683429986
2011,438.95717072300613
2012,873.2395126484334
2013,344.7098670993044
2014,897.3050165455788
2015,326.35516128502786
2016,776.3523445464671
2017,890.3068574611098
2018,974.9396009836346
2019,846.2862176354975
2020,788.7464522849768
2021,824.7086050920188
2022,775.2034697681665
2023,874.9649269971997
2024,856.8095600232482
2025,674.257541494444
2026,1008.6111192125827
2027,648.15399418585
2028,606.3034253194928
2029,1121.809401945211
2030,439.2614589538425
2031,530.9191455133299
2032,725.6871408317238
2033,648.1532335281372
2034,1049.1816997993737
2035,912.1444892138243
2036,542.7631776547059
2037,1071.123244939372
2038,840.2824908960611
2039,543.1128507480068
2040,698.9275997970298
2041,1191.1202781368047
2042,1181.5001444891095
2043,520.4541826620698
2044,570.0316672213376
2045,635.0978766102385
2046,401.7663803184405
