,,pr
1850,False,61.679678270593286
1850,True,1090.0892341509461
1851,False,78.86877923738211
1851,True,1101.6543947160244
1852,False,40.05563920363784
1852,True,706.6744371782988
1853,False,71.4515801053537
1853,True,402.99464450217783
1854,False,50.154017843306065
1854,True,660.6162392534316
1855,False,89.88847592845559
1855,True,480.2049843594432
1856,False,80.7126468513161
1856,True,703.3656855113804
1857,False,86.00650581065565
1857,True,1076.5103536192328
1858,False,38.11973389238531
1858,True,753.5987400915474
1859,False,36.64367822930217
1859,True,984.133294201456
1860,False,66.9604042544961
1860,True,920.4519589897245
1861,False,124.30415879935026
1861,True,501.74259007908404
1862,False,74.09863939974457
1862,True,322.557954210788
1863,False,117.36983587034047
1863,True,643.3137984015048
1864,False,27.26808157749474
1864,True,557.3057102970779
1865,False,64.7319839335978
1865,True,614.0939131379128
1866,False,52.47855638153851
1866,True,485.86699976585805
1867,False,110.09044968523085
1867,True,943.6100636143237
1868,False,164.66269756201655
1868,True,826.0716521646827
1869,False,99.88213400356472
1869,True,557.8750443644822
1870,False,68.54731477797031
1870,True,533.4575621411204
1871,False,38.29977591522503
1871,True,857.2473694570363
1872,False,58.05384926497936
1872,True,627.2107789758593
1873,False,29.739242233335972
1873,True,757.3024541605264
1874,False,35.88862298056483
1874,True,1229.102441109717
1875,False,34.51418112963438
1875,True,490.4447170905769
1876,False,130.81169805955142
1876,True,520.9807099308819
1877,False,116.89905789680779
1877,True,672.5845572073013
1878,False,109.25797456875443
1878,True,735.0284462794662
1879,False,58.83051976561546
1879,True,628.0071008484811
1880,False,113.30055221915245
1880,True,796.1486362852156
1881,False,62.504468858242035
1881,True,663.8398789800704
1882,False,67.3965691588819
1882,True,1352.5510888081044
1883,False,102.33380924910307
1883,True,1046.223896741867
1884,False,137.31605135835707
1884,True,719.7923981118947
1885,False,96.08831154182553
1885,True,882.1193119743839
1886,False,30.30034233815968
1886,True,385.0821272470057
1887,False,40.535010723397136
1887,True,913.7563467957079
1888,False,95.71404028683901
1888,True,888.2950636558235
1889,False,52.94376709498465
1889,True,822.9756457731128
1890,False,113.92958408687264
1890,True,719.9642376042902
1891,False,39.317744644358754
1891,True,1083.3552282303572
1892,False,80.78824491240084
1892,True,464.6431508939713
1893,False,62.53665662370622
1893,True,715.5897893942893
1894,False,47.29130328632891
1894,True,351.9217835739255
1895,False,56.04692995548248
1895,True,452.2314474452287
1896,False,28.766407538205385
1896,True,705.543091474101
1897,False,21.258127503097057
1897,True,697.497563296929
1898,False,64.17171615175903
1898,True,1118.7124393880367
1899,False,109.0470636729151
1899,True,287.39886484108865
1900,False,121.09917970374227
1900,True,1123.2576734852046
1901,False,73.50842873565853
1901,True,493.3862709905952
1902,False,15.612562419846654
1902,True,586.9733312632889
1903,False,55.471637612208724
1903,True,829.0356008335948
1904,False,25.836880831047893
1904,True,771.5158212929964
1905,False,59.013588074594736
1905,True,1072.1897235140204
1906,False,54.809268191456795
1906,True,343.1611579377204
1907,False,63.171320501714945
1907,True,700.3134150523692
1908,False,37.569535709917545
1908,True,748.4808262903243
1909,False,63.014423847198486
1909,True,633.7246191222221
1910,False,58.165570395067334
1910,True,558.4239412564784
1911,False,107.79905947856605
1911,True,607.8495583031327
1912,False,55.17571410164237
1912,True,288.0264703184366
1913,False,19.51995547860861
1913,True,830.7907411828637
1914,False,75.47107022255659
1914,True,784.7958865575492
1915,False,84.42277684807777
1915,True,512.1717944741249
1916,False,35.083796828985214
1916,True,657.9064684454352
1917,False,33.919199695810676
1917,True,820.475888159126
1918,False,93.82086005061865
1918,True,961.5382730495185
1919,False,53.990901075303555
1919,True,1136.3824790809304
1920,False,99.2101023439318
1920,True,323.49382848478854
1921,False,22.081634402275085
1921,True,310.8303687069565
1922,False,73.06437436491251
1922,True,1040.8338095527142
1923,False,150.19353004172444
1923,True,459.5539434347302
1924,False,46.49026785045862
1924,True,502.88399532437325
1925,False,45.063710887916386
1925,True,1030.5151293519884
1926,False,34.72656807862222
1926,True,583.8763152714819
1927,False,67.43740956299007
1927,True,442.86346239969134
1928,False,82.02935918234289
1928,True,982.2429912630469
1929,False,139.2915221862495
1929,True,991.9128945562989
1930,False,66.8385896366133
1930,True,1375.307388883084
1931,False,6.725308019667864
1931,True,436.37806959450245
1932,False,16.271119751036167
1932,True,697.4238222464919
1933,False,38.070629350841045
1933,True,471.794961579144
1934,False,84.18110520578921
1934,True,872.0957713667303
1935,False,80.55356754921377
1935,True,429.209540784359
1936,False,66.96933601051569
1936,True,402.11063388269395
1937,False,51.97841199114919
1937,True,820.927532762289
1938,False,73.94218845292926
1938,True,722.8083694819361
1939,False,57.2517401073128
1939,True,504.60262913256884
1940,False,46.11361403949559
1940,True,499.65886948630214
1941,False,95.97150783520192
1941,True,261.371480114758
1942,False,31.258755968883634
1942,True,641.7404137551785
1943,False,30.582888331264257
1943,True,1068.5973609331995
1944,False,86.37724849395454
1944,True,639.5676270592958
1945,False,57.35276676714885
1945,True,929.14495524019
1946,False,24.581192107871175
1946,True,1498.435074230656
1947,False,95.01682457048446
1947,True,752.5265006348491
1948,False,45.90858849696815
1948,True,910.0126510486007
1949,False,89.85216363798827
1949,True,563.1521116476506
1950,False,48.584348475560546
1950,True,481.03795484639704
1951,False,49.78249375708401
1951,True,605.0198386888951
1952,False,81.75655212253332
1952,True,447.23724047653377
1953,False,32.62490350753069
1953,True,425.8773621171713
1954,False,58.28568893484771
1954,True,828.8843393325806
1955,False,82.86006907001138
1955,True,354.6435149386525
1956,False,45.153276761993766
1956,True,788.4692484978586
1957,False,63.501528929919004
1957,True,456.04970399290323
1958,False,88.0887214327231
1958,True,784.6047640778124
1959,False,115.76896444894373
1959,True,891.3504194933921
1960,False,37.313749780878425
1960,True,588.6545809451491
1961,False,81.06890372000635
1961,True,1304.9256204161793
1962,False,76.13893335219473
1962,True,858.6234860122204
1963,False,8.31761984154582
1963,True,599.3722745217383
1964,False,34.046159125864506
1964,True,415.67898904904723
1965,False,86.12192524597049
1965,True,392.7364460192621
1966,False,20.57143966667354
1966,True,1484.7807263955515
1967,False,50.922660576179624
1967,True,550.8024062030017
1968,False,66.16653660312295
1968,True,744.2976388614625
1969,False,189.9267735891044
1969,True,622.9457774665207
1970,False,76.76280532032672
1970,True,653.9827998261899
1971,False,201.72055391594768
1971,True,855.1625864580274
1972,False,66.47065007127821
1972,True,851.5956474468112
1973,False,91.2056019064039
1973,True,707.8192936722189
1974,False,34.904382191598415
1974,True,498.6279104836285
1975,False,109.2661488102749
1975,True,555.5524458177388
1976,False,50.64800907857716
1976,True,593.2675802148879
1977,False,109.62535464204848
1977,True,700.8759409189224
1978,False,165.14960462227464
1978,True,1103.9718660525978
1979,False,72.19585790298879
1979,True,536.8719195015728
1980,False,29.873057641088963
1980,True,636.3780031912029
1981,False,67.25318706594408
1981,True,966.2199201062322
1982,False,48.73306774534285
1982,True,762.2475289274007
1983,False,14.620093954727054
1983,True,1326.1444942094386
1984,False,93.75771791674197
1984,True,553.7136337487027
1985,False,36.985930195078254
1985,True,487.44892138056457
1986,False,140.4678862541914
1986,True,1012.9693698137999
1987,False,67.00495490804315
1987,True,591.689590131864
1988,False,67.17785680666566
1988,True,914.4472704268992
1989,False,55.87243130430579
1989,True,466.25911477021873
1990,False,37.17578407377404
1990,True,774.0211423952132
1991,False,64.91411933675408
1991,True,852.0144743844867
1992,False,42.39906216971576
1992,True,1209.298219671473
1993,False,91.83650398626924
1993,True,891.1664006765932
1994,False,8.249236084520817
1994,True,535.6829247437418
1995,False,38.02150972187519
1995,True,658.8979046791792
1996,False,68.88474505394697
1996,True,701.4813867397606
1997,False,26.177737209945917
1997,True,820.0760286301374
1998,False,89.83480115421116
1998,True,391.78989864885807
1999,False,33.494836930185556
1999,True,1075.782468309626
2000,False,120.931730652228
2000,True,881.5665281843394
2001,False,32.92142800055444
2001,True,682.0341086480767
2002,False,61.37965475209057
2002,True,709.6020729281008
2003,False,46.60902977921069
2003,True,770.8424443379045
2004,False,54.97364695183933
2004,True,758.3062243647873
2005,False,45.679698418825865
2005,True,590.7817784696817
2006,False,22.578586544841528
2006,True,513.2226261310279
2007,False,18.215047800913453
2007,True,553.4951282199472
2008,False,33.44823312945664
2008,True,745.0402092654258
2009,False,54.65153669938445
2009,True,1054.1816651355475
2010,False,84.33324806392193
2010,True,457.5403202790767
2011,False,62.54966198466718
2011,True,376.40750873833895
2012,False,17.311451816931367
2012,True,855.9280608315021
2013,False,30.177166080106684
2013,True,314.5327010191977
2014,False,81.16405382752419
2014,True,816.1409627180547
2015,False,12.217596173286438
2015,True,314.1375651117414
2016,False,64.42809803411365
2016,True,711.9242465123534
2017,False,81.14396492019296
2017,True,809.1628925409168
2018,False,67.37457546405494
2018,True,907.5650255195796
2019,False,61.23542902059853
2019,True,785.0507886148989
2020,False,86.42940446734428
2020,True,702.3170478176326
2021,False,24.4533387478441
2021,True,800.2552663441747
2022,False,28.743729880079627
2022,True,746.4597398880869
2023,False,59.3761489726603
2023,True,815.5887780245394
2024,False,70.35849108360708
2024,True,786.4510689396411
2025,False,136.14589953795075
2025,True,538.1116419564933
2026,False,95.79936722293496
2026,True,912.8117519896477
2027,False,100.29714885167778
2027,True,547.8568453341722
2028,False,27.849657833576202
2028,True,578.4537674859166
2029,False,14.45372176822275
2029,True,1107.3556801769882
2030,False,28.245502850040793
2030,True,411.0159561038017
2031,False,148.40135131962992
2031,True,382.51779419369996
2032,False,101.30721805617213
2032,True,624.3799227755517
2033,False,50.74134115129709
2033,True,597.4118923768401
