time,pr
1850,966.7925017420202
1851,710.8836026396647
1852,1073.544581886381
1853,984.6236003329977
1854,935.7962078880519
1855,909.3760484363884
1856,1025.3401121590286
1857,655.0990643911064
1858,550.2168254926801
1859,932.9095772467599
1860,740.6176497694105
1861,735.9740041662008
1862,1264.252655301243
1863,680.64327808097
1864,1034.4788047950715
1865,1036.4953888580203
1866,918.707338348031
1867,971.9344988465309
1868,544.008529605348
1869,726.3473175466061
1870,751.4275501482189
1871,383.42721958179027
1872,629.5726940967143
1873,466.79035308770835
1874,979.3167636729777
1875,512.2562916018069
1876,846.771031944085
1877,683.3505984395742
1878,959.1883549466729
1879,666.5322238113731
