time,,pr
1850,False,49.161069095134735
1850,True,917.6314326468855
1851,False,51.6220256220594
1851,True,659.2615770176053
1852,False,42.17395023442805
1852,True,1031.3706316519529
1853,False,58.39976998977363
1853,True,926.2238303432241
1854,False,102.4772428907454
1854,True,833.3189649973065
1855,False,117.33901351690292
1855,True,792.0370349194854
1856,False,116.54005008749664
1856,True,908.800062071532
1857,False,58.87355161830783
1857,True,596.2255127727985
1858,False,17.92924669571221
1858,True,532.2875787969679
1859,False,49.95733941905658
1859,True,882.9522378277034
1860,False,60.17768606543541
1860,True,680.4399637039751
1861,False,65.01322486437857
1861,True,670.9607793018222
1862,False,86.13133602775633
1862,True,1178.1213192734867
1863,False,42.27907815948129
1863,True,638.3641999214888
1864,False,52.455041371285915
1864,True,982.0237634237856
1865,False,53.39590581133962
1865,True,983.0994830466807
1866,False,42.04419334419072
1866,True,876.6631450038403
1867,False,26.341811707243323
1867,True,945.5926871392876
1868,False,16.194789949804544
1868,True,527.8137396555435
1869,False,27.13459935039282
1869,True,699.2127181962132
1870,False,26.56901953741908
1870,True,724.8585306107998
1871,False,86.68183281552047
1871,True,296.7453867662698
1872,False,61.47867855615914
1872,True,568.0940155405551
1873,False,49.936791602522135
1873,True,416.8535614851862
1874,False,57.79736805707216
1874,True,921.5193956159055
1875,False,102.78076040558517
1875,True,409.4755311962217
1876,False,77.53865229897593
1876,True,769.2323796451092
1877,False,113.01257601007819
1877,True,570.338022429496
1878,False,74.86417097970843
1878,True,884.3241839669645
1879,False,61.09979054890573
1879,True,605.4324332624674
