time,pr
1979,563.8190521129325
1980,1063.002433906513
1981,1024.5713309835537
1982,1271.0363292697593
1983,1176.4429637007197
1984,642.5757638194227
1985,973.7240972996005
1986,944.8593612958109
1987,1135.3315967888193
1988,982.8656372311116
1989,559.5291194571587
1990,950.563297940198
1991,1166.1523357699025
1992,1592.943223348285
1993,2069.955447838038
1994,1288.4147633143527
1995,865.7604907351033
1996,528.2054177498367
1997,1190.8731122773133
1998,1134.1576408856042
1999,1068.8994574371975
2000,597.1979526683665
2001,853.1916301456931
2002,1446.9727134644017
2003,587.4501414345173
2004,525.9745441980975
2005,976.4833665433471
2006,1138.9090523593288
2007,801.4175756671648
2008,1088.1102782563912
2009,871.141536971345
2010,22.798689788760385
