,pr
1851,1671.4486066605493
1852,1164.9799379305477
1853,1819.8921725194907
1854,2232.862062578343
1855,1590.6546449254165
1856,1153.611634910851
1857,1587.1543238481536
1858,1569.6140688267178
1859,1709.283694045422
1860,1055.6599105119972
1861,1339.6097702047882
1862,1756.3820536084677
1863,688.7636322575418
1864,1320.4276342949797
1865,1314.779412043572
1866,1809.6023216362773
1867,1540.2765294471465
1868,1632.0247392741294
1869,1870.29276074245
1870,1990.4417005658615
1871,1496.9293468550404
1872,2045.4246177346022
1873,927.5681850848641
1874,1950.5837463595299
1875,1216.6441799826089
1876,1367.7281930751633
1877,1306.004582028254
1878,1969.4074109000667
1879,1459.5441831363587
1880,1395.9406468965512
1881,1509.7156666289277
1882,1334.7577269285466
1883,1919.4876601335636
1884,2042.7188481142366
1885,825.3235680577789
1886,1178.9277532525375
1887,2708.364023782997
1888,1306.2627614679373
1889,1545.1226186788858
1890,1794.0168158566935
1891,1930.6857835646952
1892,1518.7502828453376
1893,2167.469363663804
1894,1524.1635976417456
1895,1411.5428499402697
1896,1848.60402674924
1897,1762.2599209738837
1898,1960.791994129363
1899,1916.8410158563347
1900,2054.2714914005046
1901,2060.1955075890387
1902,2346.5682162817984
1903,1024.8751296220235
1904,891.2353526431616
1905,1126.7854704296042
1906,2430.650421494829
1907,1449.5390939702702
1908,1204.596392331689
1909,2278.552983399709
1910,2029.745791581081
1911,1365.5086855282207
1912,1651.915006791205
1913,1084.918583372928
1914,2500.375870073185
1915,1410.5637589385879
1916,1068.3197148593877
1917,1128.3062341966797
1918,1538.8027005545155
1919,1451.8877253247695
1920,1068.0085424469553
1921,1378.1553672144582
1922,1295.2572530346515
1923,1542.8403966859291
1924,1556.5798769463072
1925,1517.3814514881087
1926,880.1111967850375
1927,1118.8893175698468
1928,3538.565336853935
1929,1133.4556350194048
1930,1246.4865353305868
1931,1213.0107274651891
1932,743.5189041810105
1933,1652.6437163484388
1934,1049.271346601381
1935,1288.0279894132286
1936,1128.1315061245152
1937,1212.7415758794086
1938,1436.2680322145582
1939,1954.5606168190716
1940,1102.2141070625366
1941,2185.075744698078
1942,1566.1948546332496
1943,1854.0083355075694
1944,1620.371889929345
1945,2110.5842779697923
1946,2610.6927855924823
1947,1258.5058359894902
1948,1919.0434505813755
1949,2077.157947426167
1950,1485.1512871966634
1951,1552.790023337002
1952,1757.9564241728804
1953,1565.0389206408975
1954,1597.816036808581
1955,1700.2161008282883
1956,1813.8542582363527
1957,1208.713316268085
1958,1457.0974491811285
1959,1116.5132094387047
1960,1283.4851463306563
1961,1292.503756430615
1962,1416.5657614485099
1963,1283.6117318375814
1964,1589.7674562467728
1965,1115.4044419308689
1966,1441.8604402743313
1967,1175.691873660253
1968,1737.140527488148
1969,2278.118622618542
1970,1798.6098550889437
1971,1440.636779259512
1972,1029.7619946068153
1973,1290.5384955371119
1974,1573.9443190535894
1975,1540.8381567278411
1976,1136.6945827599243
1977,1197.2180771303556
1978,2058.9696260427936
1979,1385.0304227424203
1980,1482.3865900821943
1981,1508.6168104455282
1982,1588.1820462345786
1983,1898.3272156481796
1984,1810.9309525398203
1985,935.4698168805953
1986,1380.9788231687435
1987,918.4609358204398
1988,1208.113222023951
1989,1777.2245992804983
1990,2424.823603814366
1991,1141.3496874598422
1992,1552.735839283521
1993,1402.0608180060635
1994,1531.9044979918228
1995,1668.2521730227563
1996,1987.5593156618947
1997,1073.5886990437675
1998,1479.6462194147068
1999,1905.6094582158948
2000,1924.9693838526582
2001,1324.0466414035761
2002,1637.972082349006
2003,860.1671162279217
2004,1735.1186375992256
2005,1590.330242003381
2006,1030.654539932847
2007,1636.1470787614962
2008,750.9403792876128
2009,1924.0728353815086
2010,2177.948491797383
2011,960.1409000230888
2012,2421.34944069403
2013,2357.739760077311
2014,1086.8646510280087
2015,1637.1507611816924
2016,1520.8218833286082
2017,1237.170871714261
2018,1932.3124068840116
2019,1123.0392395431409
2020,3106.61924228275
2021,1164.2142528144177
2022,1502.954489747117
2023,1155.3126207217304
2024,971.9911590505092
2025,1597.2540192936094
2026,1714.3402139075988
2027,1347.0935779184856
2028,1098.1242085148324
2029,1610.1652380915766
2030,2274.980036704619
2031,1809.3018789331836
2032,1629.316432349151
2033,1509.7907050059662
2034,1666.3184672722764
2035,1633.7080638340894
2036,1905.7566475949798
2037,1270.9792266718068
2038,1141.093248725646
2039,1764.7275036899373
2040,1209.6826759872492
2041,1400.4707301075541
2042,2087.5266079052153
2043,1462.2266962105266
2044,1755.022477559055
2045,1717.74518183326
2046,1692.2616905586267
2047,1686.3349241136348
2048,1859.8340272766109
2049,2101.1585649690132
2050,2457.0254288758406
2051,1230.8008764600686
2052,1621.8843549329904
2053,1405.4982687013762
2054,1991.8218109344025
