,,pr
1851,False,99.38033979894297
1851,True,1572.0682668616064
1852,False,211.4319704083755
1852,True,953.5479675221723
1853,False,314.92328804861813
1853,True,1504.9688844708726
1854,False,328.63219008503677
1854,True,1904.2298724933062
1855,False,179.14253530561837
1855,True,1411.5121096197981
1856,False,160.06180271702988
1856,True,993.5498321938212
1857,False,195.60847006105178
1857,True,1391.5458537871018
1858,False,227.0926162605747
1858,True,1342.5214525661431
1859,False,481.2685538865992
1859,True,1228.0151401588228
1860,False,77.62924395439086
1860,True,978.0306665576063
1861,False,161.16227430329673
1861,True,1178.4474959014915
1862,False,367.3355659480876
1862,True,1389.04648766038
1863,False,182.81039594912727
1863,True,505.9532363084145
1864,False,328.77046956135575
1864,True,991.6571647336241
1865,False,351.6653048412991
1865,True,963.1141072022729
1866,False,293.84391648048404
1866,True,1515.7584051557933
1867,False,275.7987090903043
1867,True,1264.4778203568421
1868,False,187.2411554610153
1868,True,1444.783583813114
1869,False,267.47982276938274
1869,True,1602.8129379730672
1870,False,292.0618632109836
1870,True,1698.379837354878
1871,False,201.18398548279401
1871,True,1295.7453613722464
1872,False,127.5927710471251
1872,True,1917.831846687477
1873,False,291.29450095196177
1873,True,636.2736841329024
1874,False,228.07434122621544
1874,True,1722.5094051333144
1875,False,94.10056669591995
1875,True,1122.543613286689
1876,False,293.8584119430743
1876,True,1073.869781132089
1877,False,255.4218997101998
1877,True,1050.5826823180541
1878,False,243.57311966964517
1878,True,1725.8342912304215
1879,False,315.4252807697503
1879,True,1144.1189023666084
1880,False,101.58024401817727
1880,True,1294.3604028783739
1881,False,358.63422862321494
1881,True,1151.0814380057127
1882,False,103.15101439282444
1882,True,1231.6067125357222
1883,False,283.81731985118677
1883,True,1635.6703402823769
1884,False,204.1690846610436
1884,True,1838.549763453193
1885,False,109.75612188367876
1885,True,715.5674461741
1886,False,323.24492689604085
1886,True,855.6828263564967
1887,False,312.62680527543125
1887,True,2395.7372185075656
1888,False,137.63308786727464
1888,True,1168.6296736006625
1889,False,89.84079820487523
1889,True,1455.2818204740106
1890,False,288.32117857610626
1890,True,1505.695637280587
1891,False,186.0106269159587
1891,True,1744.6751566487364
1892,False,159.69278507667468
1892,True,1359.0574977686629
1893,False,595.5250071578121
1893,True,1571.944356505992
1894,False,380.6326561840251
1894,True,1143.5309414577205
1895,False,218.18504877992382
1895,True,1193.3578011603458
1896,False,256.4399264850408
