time,pr
1856,1160.5787172113196
1857,1926.7250888507988
1858,1299.377375830727
1859,1859.506000955139
1860,1417.1725027135608
1861,2914.8668310303037
1862,839.2489887191914
1863,1466.0868266972102
1864,1338.154385078633
1865,1247.6485741780436
1866,1678.1111664355194
1867,1604.9457081085166
1868,1691.9106184754974
1869,1398.5428962808214
1870,1755.193014403151
1871,1774.373695718532
1872,1259.9291853736759
1873,1853.0996079865872
1874,2109.8092731022916
1875,1390.4668662950826
1876,1699.2087632293533
1877,1801.3889371316054
1878,2233.1793170181754
1879,1943.477975813994
1880,1374.7938233195555
1881,1132.3959868876045
1882,1301.350888759407
1883,1234.649239749342
1884,1161.247149745168
1885,883.7782966726465
